,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,122679983.68385497,122679983.68385497
1,0.0,0.0,0.25,9842400.0,121502982.2844933,131345382.2844933
2,0.0,0.0,0.5,19684800.0,121006742.31559983,140691542.31559983
3,0.0,0.0,0.75,29527200.0,120832119.1526922,150359319.1526922
4,0.0,0.0,1.0,39369600.0,120680625.10122412,160050225.10122412
5,0.0,0.0,1.25,49212000.0,120579374.7125633,169791374.7125633
6,0.0,0.0,1.5,59054400.0,120523682.98804054,179578082.98804054
7,0.0,0.0,1.75,68896800.0,120517664.72813039,189414464.7281304
8,0.0,0.0,2.0,78739200.0,120517664.72813039,199256864.7281304
9,0.0,0.0,2.25,88581600.0,120517664.72813039,209099264.7281304
10,0.0,0.0,2.5,98424000.0,120517664.72813039,218941664.7281304
11,0.0,0.0,2.75,108266400.0,120517664.72813039,228784064.7281304
12,0.0,0.25,0.0,9842400.0,122186372.41403589,132028772.41403589
13,0.0,0.25,0.25,19684800.0,120894322.31077574,140579122.31077576
14,0.0,0.25,0.5,29527200.0,120396441.5983218,149923641.5983218
15,0.0,0.25,0.75,39369600.0,120221749.46025738,159591349.46025738
16,0.0,0.25,1.0,49212000.0,120070255.40878934,169282255.40878934
17,0.0,0.25,1.25,59054400.0,119969005.02012849,179023405.0201285
18,0.0,0.25,1.5,68896800.0,119913313.29560575,188810113.29560575
19,0.0,0.25,1.75,78739200.0,119907295.03569558,198646495.03569558
20,0.0,0.25,2.0,88581600.0,119907295.03569558,208488895.03569558
21,0.0,0.25,2.25,98424000.0,119907295.03569558,218331295.03569558
22,0.0,0.25,2.5,108266400.0,119907295.03569558,228173695.03569558
23,0.0,0.25,2.75,118108800.0,119907295.03569558,238016095.03569558
24,0.0,0.5,0.0,19684800.0,122053108.50566185,141737908.50566185
25,0.0,0.5,0.25,29527200.0,120744477.67216086,150271677.67216086
26,0.0,0.5,0.5,39369600.0,120230118.7677513,159599718.7677513
27,0.0,0.5,0.75,49212000.0,120052010.52160563,169264010.5216056
28,0.0,0.5,1.0,59054400.0,119900447.02941272,178954847.02941272
29,0.0,0.5,1.25,68896800.0,119799196.64075187,188695996.64075187
30,0.0,0.5,1.5,78739200.0,119743504.91622913,198482704.91622913
31,0.0,0.5,1.75,88581600.0,119737486.65631896,208319086.65631896
32,0.0,0.5,2.0,98424000.0,119737486.65631896,218161486.65631896
33,0.0,0.5,2.25,108266400.0,119737486.65631896,228003886.65631896
34,0.0,0.5,2.5,118108800.0,119737486.65631896,237846286.65631896
35,0.0,0.5,2.75,127951200.0,119737486.65631896,247688686.65631896
36,0.0,0.75,0.0,29527200.0,121962473.805004,151489673.805004
37,0.0,0.75,0.25,39369600.0,120651128.05387291,160020728.0538729
38,0.0,0.75,0.5,49212000.0,120123277.61052209,169335277.6105221
39,0.0,0.75,0.75,59054400.0,119936496.28052497,178990896.28052497
40,0.0,0.75,1.0,68896800.0,119783321.09442976,188680121.09442976
41,0.0,0.75,1.25,78739200.0,119682070.70576891,198421270.7057689
42,0.0,0.75,1.5,88581600.0,119626378.98124617,208207978.98124617
43,0.0,0.75,1.75,98424000.0,119620360.721336,218044360.721336
44,0.0,0.75,2.0,108266400.0,119620360.721336,227886760.721336
45,0.0,0.75,2.25,118108800.0,119620360.721336,237729160.721336
46,0.0,0.75,2.5,127951200.0,119620360.721336,247571560.721336
47,0.0,0.75,2.75,137793600.0,119620360.721336,257413960.721336
48,0.0,1.0,0.0,39369600.0,121950189.23713288,161319789.23713288
49,0.0,1.0,0.25,49212000.0,120638814.47001296,169850814.47001296
50,0.0,1.0,0.5,59054400.0,120108988.51938787,179163388.51938787
51,0.0,1.0,0.75,68896800.0,119920440.81091902,188817240.81091902
52,0.0,1.0,1.0,78739200.0,119766744.70008516,198505944.70008516
53,0.0,1.0,1.25,88581600.0,119665494.31142431,208247094.31142431
54,0.0,1.0,1.5,98424000.0,119609802.58690158,218033802.58690158
55,0.0,1.0,1.75,108266400.0,119603784.32699141,227870184.3269914
56,0.0,1.0,2.0,118108800.0,119603784.32699141,237712584.3269914
57,0.0,1.0,2.25,127951200.0,119603784.32699141,247554984.3269914
58,0.0,1.0,2.5,137793600.0,119603784.32699141,257397384.3269914
59,0.0,1.0,2.75,147636000.0,119603784.32699141,267239784.3269914
60,0.0,1.25,0.0,49212000.0,121914592.53808258,171126592.5380826
61,0.0,1.25,0.25,59054400.0,120603217.77096266,179657617.77096266
62,0.0,1.25,0.5,68896800.0,120073391.8203376,188970191.8203376
63,0.0,1.25,0.75,78739200.0,119884844.11186871,198624044.1118687
64,0.0,1.25,1.0,88581600.0,119727880.04971457,208309480.04971457
65,0.0,1.25,1.25,98424000.0,119623453.30698022,218047453.30698022
66,0.0,1.25,1.5,108266400.0,119565730.72636384,227832130.72636384
67,0.0,1.25,1.75,118108800.0,119559478.58602816,237668278.58602816
68,0.0,1.25,2.0,127951200.0,119559478.58602816,247510678.58602816
69,0.0,1.25,2.25,137793600.0,119559478.58602816,257353078.58602816
70,0.0,1.25,2.5,147636000.0,119559478.58602816,267195478.58602816
71,0.0,1.25,2.75,157478400.0,119559478.58602816,277037878.58602816
72,0.0,1.5,0.0,59054400.0,121884528.3372319,180938928.3372319
73,0.0,1.5,0.25,68896800.0,120573153.57011199,189469953.570112
74,0.0,1.5,0.5,78739200.0,120043327.6194869,198782527.6194869
75,0.0,1.5,0.75,88581600.0,119854779.91101804,208436379.91101804
76,0.0,1.5,1.0,98424000.0,119694446.00254692,218118446.0025469
