,0,1
0,1.9,8371250686.568304
1,1.95,6640178463.588725
2,2.0,6040604344.982243
3,2.05,5303643520.572317
4,2.1,4637310866.547189
5,2.15,4143380116.840221
6,2.2,3724673686.303514
7,2.25,3343846986.655546
8,2.3,3025132216.460964
9,2.35,2712490650.546367
10,2.4,2486232703.4221597
11,2.45,2246611281.21755
12,2.5,2093031924.5911355
13,2.55,1994104389.9944475
14,2.6,1876207666.8232493
15,2.65,1791825650.3598816
16,2.7,1691336234.357675
17,2.75,1566285727.2582035
18,2.8,1444292929.5757551
19,2.85,1333517925.9755592
20,2.9,1214295833.9120631
21,2.95,1121122833.6703014
22,3.0,1024552610.3412974
23,3.05,947317014.7610607
24,3.1,913591909.6913127
25,3.15,903575505.2877972
26,3.2,909312959.5018518
27,3.25,913237537.520895
28,3.3,920278935.0498914
29,3.35,933158156.6309384
30,3.4,940622901.1644925
31,3.45,946762748.3527163
32,3.5,954616014.5779004
33,3.55,967592393.286324
34,3.6,981699459.1242491
35,3.65,996629841.6976639
36,3.7,1014024117.5010165
37,3.75,1031649141.4784304
38,3.8,1049512185.618967
39,3.85,1064605911.5648475
40,3.9,1082937014.050722
41,3.95,1102764255.8637116
42,4.0,1136298339.45805
43,4.05,1171216407.5463097
44,4.1,1206257515.06826
45,4.15,1241235268.6375704
46,4.2,1276111330.802064
47,4.25,1310266208.6881492
48,4.300000000000001,1344124010.6863494
49,4.35,1379802710.6863487
50,4.4,1415481410.686349
51,4.45,1451160110.686349
52,4.5,1486838810.686349
53,4.550000000000001,1522517510.6863494
54,4.6,1558196210.6863484
55,4.65,1593874910.6863492
56,4.7,1629553610.686349
57,4.75,1665232310.686349
58,4.800000000000001,1700911010.6863494
59,4.85,1736589710.6863484
60,4.9,1772268410.6863492
61,4.95,1807947110.686349
