,0,1,2,3
0,1.9,0.0,188618610.7618207,188618610.7618207
1,1.91,46795195.274529584,163581744.4274697,210376939.70199928
2,1.92,48271555.274529584,160864902.2155293,209136457.49005887
3,1.93,49796812.8984312,157455364.21807915,207252177.11651033
4,1.94,51322384.8984312,154915329.08533263,206237713.9837638
5,1.95,52847956.89843119,152397591.6771148,205245548.575546
6,1.96,54373528.8984312,149933870.6955196,204307399.5939508
7,1.97,55899100.898431204,147531013.00281724,203430113.90124846
8,1.98,57424672.8984312,145176189.1131996,202600862.01163077
9,1.99,58964961.938958,142141737.37120056,201106699.31015855
10,2.0,60539745.938958004,139933350.20630392,200473096.14526194
11,2.01,62135401.28456876,136596355.4333623,198731756.71793106
12,2.02,63823503.217629604,133598363.81182879,197421867.0294584
13,2.03,65675452.73505116,129812142.07735483,195487594.812406
14,2.04,67584782.022246,126605008.71297777,194189790.73522377
15,2.05,69553262.02224597,124298869.61234549,193852131.63459146
16,2.06,71521742.022246,122023593.31608942,193545335.33833542
17,2.07,73569907.00798917,117010110.60476604,190580017.6127552
18,2.08,75784447.00798921,114548619.81165017,190333066.81963938
19,2.09,77998987.00798917,112088946.15089928,190087933.15888846
20,2.1,80213527.00798921,109795982.34828302,190009509.35627222
21,2.11,82428067.00798917,107616634.77283052,190044701.78081968
22,2.12,84642607.00798921,105581804.44734171,190224411.4553309
23,2.13,86874237.89760236,103246024.58376907,190120262.48137143
24,2.1399999999999997,89169138.32296672,101061723.93095002,190230862.25391674
25,2.15,91520511.79192558,98773606.75340325,190294118.54532883
26,2.16,93924608.49771482,96466011.34679891,190390619.8445137
27,2.17,96335996.49771477,94430018.39245227,190766014.89016706
28,2.1799999999999997,98779272.36290634,92199245.39065298,190978517.75355932
29,2.19,101266597.7711892,90041550.77406842,191308148.54525763
30,2.1999999999999997,103780667.88377993,87761041.59654039,191541709.48032033
31,2.21,106363870.09862758,85305603.82543135,191669473.9240589
32,2.2199999999999998,108981918.28738073,83101701.6093231,192083619.89670384
33,2.23,111639366.28738078,81028001.35094659,192667367.63832736
34,2.2399999999999998,114296814.28738074,79138189.85218139,193435004.13956213
35,2.25,117001896.14220119,77218380.49889633,194220276.64109752
36,2.26,119708556.14220116,75850963.57970807,195559519.72190922
37,2.27,122423742.31804919,74525604.52692115,196949346.84497035
38,2.28,125185316.72410074,73223129.84449959,198408446.56860033
39,2.29,128072799.4366872,71606659.85097861,199679459.2876658
40,2.3,131061825.34362714,70087850.34840113,201149675.69202828
41,2.31,134091867.19865762,68755110.70543851,202846977.90409613
42,2.32,137148090.72350395,67380130.0055226,204528220.72902656
