,0,1,2,3,4
0,0.0,0.0,116463821.66843311,116463821.66843311,196736.4638960041
1,0.02531645569620253,996698.7341772151,115036113.40201384,116032812.13619106,113395.29408915536
2,0.05063291139240506,1993397.4683544303,114620050.2024129,116613447.67076734,98474.5838881311
3,0.0759493670886076,2990096.2025316455,114307358.21750334,117297454.42003499,83845.72648363945
4,0.10126582278481013,3986794.9367088606,113936236.51456407,117923031.45127293,66776.8006088976
5,0.12658227848101267,4983493.670886076,113695037.12690134,118678530.79778741,51917.24091876746
6,0.1518987341772152,5980192.405063291,113538944.5051997,119519136.91026299,39009.19262330586
7,0.17721518987341772,6976891.139240506,113438257.25133294,120415148.39057344,27697.08826482037
8,0.20253164556962025,7973589.873417721,113379837.57433078,121353427.4477485,18097.91625430766
9,0.22784810126582278,8970288.607594937,113347697.06941202,122317985.67700696,10387.135185664361
10,0.25316455696202533,9966987.341772152,113330217.10618058,123297204.44795273,4912.391623622891
11,0.27848101265822783,10963686.075949367,113322491.55075198,124286177.62670135,1906.4840611136565
12,0.3037974683544304,11960384.810126582,113319735.57437131,125280120.3844979,568.3759256128111
13,0.3291139240506329,12957083.544303797,113318564.54879335,126275648.09309715,0.0
14,0.35443037974683544,13953782.278481012,113318564.54879335,127272346.82727435,0.0
15,0.37974683544303794,14950481.012658227,113318564.54879335,128269045.56145157,0.0
16,0.4050632911392405,15947179.746835442,113318564.54879335,129265744.29562879,0.0
17,0.43037974683544306,16943878.481012657,113318564.54879335,130262443.029806,0.0
18,0.45569620253164556,17940577.215189874,113318564.54879335,131259141.76398322,0.0
19,0.4810126582278481,18937275.94936709,113318564.54879335,132255840.49816044,0.0
20,0.5063291139240507,19933974.683544304,113318564.54879335,133252539.23233765,0.0
21,0.5316455696202531,20930673.417721517,113318564.54879335,134249237.96651486,0.0
22,0.5569620253164557,21927372.151898734,113318564.54879335,135245936.7006921,0.0
23,0.5822784810126582,22924070.886075947,113318564.54879335,136242635.4348693,0.0
24,0.6075949367088608,23920769.620253164,113318564.54879335,137239334.16904652,0.0
25,0.6329113924050633,24917468.35443038,113318564.54879335,138236032.90322372,0.0
26,0.6582278481012658,25914167.088607594,113318564.54879335,139232731.63740093,0.0
27,0.6835443037974683,26910865.82278481,113318564.54879335,140229430.37157816,0.0
28,0.7088607594936709,27907564.556962024,113318564.54879335,141226129.10575536,0.0
29,0.7341772151898734,28904263.29113924,113318564.54879335,142222827.8399326,0.0
30,0.7594936708860759,29900962.025316454,113318564.54879335,143219526.5741098,0.0
31,0.7848101265822784,30897660.759493668,113318564.54879335,144216225.30828702,0.0
32,0.810126582278481,31894359.493670885,113318564.54879335,145212924.04246423,0.0
33,0.8354430379746836,32891058.227848105,113318564.54879335,146209622.77664146,0.0
34,0.8607594936708861,33887756.962025315,113318564.54879335,147206321.51081866,0.0
35,0.8860759493670886,34884455.69620253,113318564.54879335,148203020.2449959,0.0
36,0.9113924050632911,35881154.43037975,113318564.54879335,149199718.9791731,0.0
37,0.9367088607594937,36877853.16455696,113318564.54879335,150196417.7133503,0.0
38,0.9620253164556962,37874551.89873418,113318564.54879335,151193116.44752753,0.0
39,0.9873417721518987,38871250.63291139,113318564.54879335,152189815.18170473,0.0
40,1.0126582278481013,39867949.36708861,113318564.54879335,153186513.91588196,0.0
41,1.0379746835443038,40864648.10126582,113318564.54879335,154183212.65005916,0.0
42,1.0632911392405062,41861346.835443035,113318564.54879335,155179911.3842364,0.0
43,1.0886075949367089,42858045.56962025,113318564.54879335,156176610.1184136,0.0
44,1.1139240506329113,43854744.30379747,113318564.54879335,157173308.8525908,0.0
45,1.139240506329114,44851443.037974685,113318564.54879335,158170007.58676803,0.0
46,1.1645569620253164,45848141.772151895,113318564.54879335,159166706.32094523,0.0
47,1.1898734177215189,46844840.506329104,113318564.54879335,160163405.05512244,0.0
48,1.2151898734177216,47841539.24050633,113318564.54879335,161160103.78929967,0.0
49,1.240506329113924,48838237.974683546,113318564.54879335,162156802.5234769,0.0
50,1.2658227848101267,49834936.70886076,113318564.54879335,163153501.2576541,0.0
51,1.2911392405063291,50831635.44303797,113318564.54879335,164150199.9918313,0.0
52,1.3164556962025316,51828334.17721519,113318564.54879335,165146898.72600853,0.0
53,1.3417721518987342,52825032.911392406,113318564.54879335,166143597.46018577,0.0
54,1.3670886075949367,53821731.64556962,113318564.54879335,167140296.19436297,0.0
55,1.3924050632911391,54818430.37974683,113318564.54879335,168136994.92854017,0.0
56,1.4177215189873418,55815129.11392405,113318564.54879335,169133693.6627174,0.0
57,1.4430379746835442,56811827.848101266,113318564.54879335,170130392.3968946,0.0
58,1.4683544303797469,57808526.58227848,113318564.54879335,171127091.13107184,0.0
59,1.4936708860759493,58805225.31645569,113318564.54879335,172123789.86524904,0.0
60,1.5189873417721518,59801924.05063291,113318564.54879335,173120488.59942627,0.0
61,1.5443037974683544,60798622.784810126,113318564.54879335,174117187.33360347,0.0
62,1.5696202531645569,61795321.518987335,113318564.54879335,175113886.06778067,0.0
63,1.5949367088607596,62792020.25316455,113318564.54879335,176110584.8019579,0.0
64,1.620253164556962,63788718.98734177,113318564.54879335,177107283.5361351,0.0
65,1.6455696202531644,64785417.72151898,113318564.54879335,178103982.2703123,0.0
66,1.6708860759493671,65782116.45569621,113318564.54879335,179100681.00448954,0.0
67,1.6962025316455696,66778815.18987341,113318564.54879335,180097379.73866677,0.0
68,1.7215189873417722,67775513.92405063,113318564.54879335,181094078.47284397,0.0
69,1.7468354430379747,68772212.65822785,113318564.54879335,182090777.20702118,0.0
