,0,1,2,3,4,5,6,7,8,9
0,1.9,0.0,204836719.6201629,204836719.6201629,37824.93309345248,1896732.4231603404,17735.317501190853,1600307.6641245438,582635.5454130238,38192583.835302204
1,1.91,46795195.274529584,191206690.79238296,238001886.06691253,21056.579777896746,1322091.0506744941,11141.172519954816,1374330.2857213295,331450.1043367625,29549868.64690251
2,1.92,48271555.274529584,187935169.76737106,236206725.04190063,18498.36096081272,1294823.5517945727,10135.1544896734,1363607.357983214,292916.380407728,29139146.05075188
3,1.93,49796812.8984312,184173548.2456374,233970361.1440686,16118.827944041648,1268080.8757269718,9199.40454422884,1353090.816504308,251355.112975857,28498964.176285658
4,1.94,51322384.8984312,181222299.27969983,232544684.17813104,13926.740882683638,1241873.9120200577,8337.367609410872,1342784.9435930385,217379.78323623238,28092780.38499719
5,1.95,52847956.89843119,178300240.39416164,231148197.29259282,11933.772536253304,1216216.6063017363,7553.633990965205,1332695.2233592959,186490.61011705105,27695115.786096502
6,1.96,54373528.8984312,175461109.86889243,229834638.7673236,10157.11682985166,1191127.9932221526,6854.965189724926,1322829.1411679434,158954.0836155048,27306265.39912298
7,1.97,55899100.898431204,172720398.87955648,228619499.7779877,8628.636361383597,1166637.4632150012,6253.891153390312,1313198.2547895743,135264.04464204953,26926684.748719584
8,1.98,57424672.8984312,170053034.55480385,227477707.45323503,7395.860189382498,1142813.0856751935,5769.102655998191,1303829.332473305,116157.14981236045,26557428.84779071
9,1.99,58964961.938958,167070223.8178449,226035185.7568029,6281.050501277999,1119592.4147178396,5330.704408328398,1294697.8174119948,96540.23315994357,25923592.419663228
10,2.0,60539745.938958004,164472432.09324834,225012178.03220636,5257.639344837449,1096897.74976103,4928.248578946337,1285773.1538979604,80031.53017757599,25557503.501540236
11,2.01,62135401.28456876,161102468.8593903,223237870.14395905,4329.66033521834,1074713.1909243756,3720.069518849739,1118636.4078912826,62716.45326766441,24783210.6121474
12,2.02,63823503.217629604,157863584.04045644,221687087.25808606,3502.05170338225,1052871.6691533653,3069.156313080529,1101458.0769653409,47142.30688078038,24109475.03624948
13,2.03,65675452.73505116,153954812.4714218,219630265.20647296,2064.5459107788233,895477.5055827283,1826.7332694972715,928846.5789606179,31679.236962934676,23212677.896660935
14,2.04,67584782.022246,150702052.35322437,218286834.37547037,1256.5145671265827,867275.0818990481,1111.7781161438124,903892.759646422,19100.399663417087,22455053.237305965
15,2.05,69553262.02224597,148025819.45491737,217579081.47716334,617.7621413272589,839535.9630641786,546.6028390585278,879348.8776345762,9466.56716177513,22036684.533243723
16,2.06,71521742.022246,145398510.34933478,216920252.37158078,175.01141352561118,812262.7295040673,154.85205243431778,855217.216114765,2788.883947838976,21625342.43373236
17,2.07,73569907.00798917,141222416.0652601,214792323.07324928,0.0,785458.1628591289,0.0,831500.2363134807,0.0,20215603.692738615
18,2.08,75784447.00798921,138514247.51837146,214298694.5263607,0.0,759125.2620965572,0.0,808200.5917503749,0.0,19759911.653772816
19,2.09,77998987.00798917,135804269.50958002,213803256.51756918,0.0,733267.2622437909,0.0,785321.1448138403,0.0,19312437.796535168
20,2.1,80213527.00798921,133194100.29595944,213407627.30394864,0.0,707887.656330814,0.0,762864.9861758009,0.0,18873242.56806755
21,2.11,82428067.00798917,130654968.9895128,213083035.99750197,0.0,682990.221308669,0.0,740835.4577247035,0.0,18442391.328678615
22,2.12,84642607.00798921,128364100.71010095,213006707.71809018,0.0,658579.0489620317,0.0,719236.1799173082,0.0,18019954.88688731
23,2.13,86874237.89760236,125844895.71053623,212719133.6081386,0.0,634658.58319044,0.0,698071.0847655353,0.0,17498072.65451585
24,2.1399999999999997,89169138.32296672,123336831.16722153,212505969.49018824,0.0,611233.6655522942,0.0,677344.4561343067,0.0,16978776.703169856
25,2.15,91520511.79192558,120735933.05153438,212256444.84345996,0.0,588309.5917429649,0.0,657060.9797140048,0.0,16441576.655317178
26,2.16,93924608.49771482,118098519.10387383,212023127.60158867,0.0,565892.1828762776,0.0,637225.8060911268,0.0,15918429.234302366
27,2.17,96335996.49771477,115475122.88223018,211811119.37994495,0.0,543987.8773513418,0.0,617844.63203308,0.0,15511354.310609294
28,2.1799999999999997,98779272.36290634,112716054.05124101,211495326.41414735,0.0,522603.85226910154,0.0,598923.8079189016,0.0,15010975.617686396
29,2.19,101266597.7711892,110069194.22146899,211335791.9926582,0.0,501748.1889255963,0.0,580470.4841695431,0.0,14529614.438469268
30,2.1999999999999997,103780667.88377993,107327334.38196613,211108002.26574606,0.0,481430.10723293433,0.0,562492.818666165,0.0,14022557.86668724
31,2.21,106363870.09862758,104421706.2639387,210785576.3625663,0.0,461660.31456713506,0.0,545000.2854146011,0.0,13482113.879850881
32,2.2199999999999998,108981918.28738073,101779555.62189071,210761473.90927142,0.0,442451.5600065779,0.0,528004.1649417267,0.0,13012576.34085508
33,2.23,111639366.28738078,99127657.58738652,210767023.8747673,0.0,423819.59885873215,0.0,511518.39771947544,0.0,12629887.620928051
34,2.2399999999999998,114296814.28738074,96795746.83184953,211092561.11923027,0.0,405785.11650034925,0.0,495561.2864001192,0.0,12259470.738158086
35,2.25,117001896.14220119,94650259.49112187,211652155.63332307,0.0,388378.5730345144,0.0,480159.78242290986,0.0,11831362.757244412
36,2.26,119708556.14220116,93237507.06912443,212946063.2113256,0.0,371662.3579193301,0.0,465369.0886768643,0.0,11483054.046532221
37,2.27,122423742.31804919,92103129.46826304,214526871.78631222,0.0,355633.8052057486,0.0,451186.8463005034,0.0,11090825.798982538
