time,height
0,1.471
1,1.472
2,1.254
3,0.948
4,0.633
5,0.392
6,0.239
7,0.2
8,0.392
9,0.736
10,1.161
11,1.572
12,1.844
13,1.93
14,1.846
15,1.629
16,1.3
17,1.035
18,0.845
19,0.937
20,1.325
21,1.764
22,2.183
23,2.686
24,3.273
25,3.48
26,3.322
27,2.708
28,1.788
29,1.187
30,0.764
31,0.397
32,0.373
33,0.682
34,1.11
35,1.328
36,1.397
37,1.444
38,1.475
39,1.314
40,0.995
41,0.524
42,0.119
43,-0.207
44,-0.323
45,-0.167
46,0.297
47,0.782
