Year,Warm,Cold
2020,1.0,3.0
2021,1.0,2.0
2022,2.0,1.0
2023,0.0,4.0
2024,1.0,6.0
2025,2.0,3.0
2026,0.0,2.0
2027,0.0,6.0
2028,2.0,5.0
2029,2.0,1.0
2030,2.0,3.0
2031,1.0,5.0
2032,1.0,1.0
2033,3.0,1.0
2034,2.0,2.0
2035,2.0,3.0
2036,1.0,1.0
2037,0.0,5.0
2038,0.0,1.0
2039,1.0,6.0
2040,0.0,4.0
2041,1.0,1.0
2042,0.0,6.0
2043,1.0,8.0
2044,1.0,4.0
2045,4.0,2.0
2046,2.0,0.0
2047,2.0,1.0
2048,2.0,7.0
2049,2.0,3.0
2050,2.0,2.0
2051,1.0,1.0
2052,0.0,0.0
2053,2.0,5.0
2054,4.0,2.0
2055,1.0,3.0
2056,2.0,6.0
2057,0.0,5.0
2058,1.0,2.0
2059,3.0,3.0
2060,1.0,1.0
2061,0.0,6.0
2062,0.0,3.0
2063,0.0,7.0
2064,1.0,5.0
2065,1.0,7.0
2066,0.0,6.0
2067,4.0,4.0
2068,1.0,4.0
2069,6.0,5.0
2070,2.0,2.0
2071,1.0,6.0
2072,1.0,4.0
2073,0.0,7.0
2074,1.0,3.0
2075,2.0,1.0
2076,3.0,4.0
2077,1.0,2.0
2078,0.0,4.0
2079,0.0,7.0
2080,1.0,1.0
2081,1.0,2.0
2082,1.0,2.0
2083,1.0,1.0
2084,1.0,3.0
2085,1.0,4.0
2086,1.0,8.0
2087,1.0,3.0
2088,2.0,2.0
2089,0.0,5.0
2090,3.0,10.0
2091,4.0,9.0
2092,1.0,5.0
2093,2.0,3.0
2094,1.0,5.0
2095,2.0,1.0
2096,1.0,3.0
2097,2.0,3.0
2098,0.0,2.0
2099,1.0,6.0
2100,2.0,7.0
