Year,Warm,Cold
2020,0.0,7.0
2021,0.0,4.0
2022,0.0,4.0
2023,1.0,3.0
2024,1.0,6.0
2025,1.0,8.0
2026,4.0,9.0
2027,1.0,1.0
2028,1.0,4.0
2029,0.0,6.0
2030,1.0,4.0
2031,2.0,2.0
2032,0.0,2.0
2033,1.0,3.0
2034,3.0,2.0
2035,2.0,6.0
2036,0.0,3.0
2037,2.0,4.0
2038,3.0,3.0
2039,1.0,0.0
2040,2.0,6.0
2041,0.0,4.0
2042,1.0,6.0
2043,1.0,1.0
2044,3.0,4.0
2045,3.0,1.0
2046,1.0,3.0
2047,1.0,4.0
2048,2.0,8.0
2049,1.0,2.0
2050,1.0,6.0
2051,2.0,2.0
2052,2.0,4.0
2053,2.0,3.0
2054,1.0,4.0
2055,1.0,5.0
2056,3.0,6.0
2057,4.0,2.0
2058,1.0,5.0
2059,2.0,3.0
2060,1.0,1.0
2061,2.0,3.0
2062,2.0,4.0
2063,0.0,2.0
2064,2.0,5.0
2065,2.0,4.0
2066,0.0,4.0
2067,1.0,2.0
2068,0.0,4.0
2069,2.0,3.0
2070,2.0,5.0
2071,4.0,4.0
2072,2.0,3.0
2073,0.0,6.0
2074,2.0,5.0
2075,0.0,8.0
2076,1.0,3.0
2077,2.0,4.0
2078,2.0,1.0
2079,3.0,5.0
2080,1.0,5.0
2081,0.0,5.0
2082,2.0,5.0
2083,4.0,4.0
2084,1.0,7.0
2085,0.0,2.0
2086,1.0,1.0
2087,3.0,5.0
2088,2.0,4.0
2089,2.0,3.0
2090,2.0,5.0
2091,3.0,3.0
2092,3.0,4.0
2093,1.0,2.0
2094,1.0,5.0
2095,0.0,2.0
2096,1.0,4.0
2097,2.0,6.0
2098,0.0,3.0
2099,3.0,4.0
2100,2.0,2.0
