Year,Warm,Cold
2020,0.0,2.0
2021,2.0,3.0
2022,2.0,3.0
2023,2.0,9.0
2024,2.0,5.0
2025,0.0,2.0
2026,1.0,1.0
2027,1.0,4.0
2028,1.0,2.0
2029,1.0,3.0
2030,1.0,7.0
2031,2.0,9.0
2032,1.0,5.0
2033,2.0,1.0
2034,1.0,6.0
2035,0.0,3.0
2036,4.0,5.0
2037,0.0,5.0
2038,2.0,3.0
2039,1.0,5.0
2040,2.0,3.0
2041,2.0,7.0
2042,0.0,7.0
2043,3.0,10.0
2044,1.0,2.0
2045,4.0,3.0
2046,2.0,2.0
2047,2.0,9.0
2048,0.0,4.0
2049,0.0,6.0
2050,0.0,5.0
2051,2.0,3.0
2052,2.0,3.0
2053,2.0,3.0
2054,0.0,5.0
2055,1.0,4.0
2056,1.0,2.0
2057,4.0,3.0
2058,1.0,4.0
2059,3.0,3.0
2060,0.0,5.0
2061,2.0,5.0
2062,1.0,6.0
2063,2.0,1.0
2064,2.0,4.0
2065,0.0,2.0
2066,0.0,2.0
2067,1.0,1.0
2068,2.0,1.0
2069,3.0,4.0
2070,4.0,3.0
2071,2.0,4.0
2072,4.0,2.0
2073,5.0,2.0
2074,3.0,4.0
2075,1.0,5.0
2076,0.0,5.0
2077,0.0,3.0
2078,2.0,4.0
2079,0.0,3.0
2080,0.0,9.0
2081,0.0,1.0
2082,1.0,2.0
2083,2.0,4.0
2084,1.0,7.0
2085,0.0,4.0
2086,3.0,6.0
2087,1.0,5.0
2088,0.0,5.0
2089,0.0,5.0
2090,1.0,2.0
2091,1.0,7.0
2092,4.0,1.0
2093,2.0,5.0
2094,2.0,8.0
2095,4.0,6.0
2096,3.0,2.0
2097,0.0,4.0
2098,0.0,3.0
2099,5.0,4.0
2100,1.0,4.0
