Year,Warm,Cold
2020,1.0,3.0
2021,1.0,5.0
2022,4.0,5.0
2023,2.0,2.0
2024,1.0,4.0
2025,3.0,3.0
2026,3.0,2.0
2027,1.0,1.0
2028,0.0,3.0
2029,2.0,2.0
2030,2.0,5.0
2031,1.0,7.0
2032,1.0,7.0
2033,1.0,4.0
2034,2.0,2.0
2035,2.0,5.0
2036,2.0,4.0
2037,2.0,2.0
2038,2.0,1.0
2039,0.0,2.0
2040,5.0,2.0
2041,1.0,4.0
2042,1.0,5.0
2043,0.0,2.0
2044,2.0,7.0
2045,2.0,5.0
2046,0.0,2.0
2047,0.0,3.0
2048,3.0,5.0
2049,1.0,3.0
2050,3.0,4.0
2051,2.0,4.0
2052,3.0,4.0
2053,3.0,5.0
2054,1.0,3.0
2055,1.0,3.0
2056,0.0,7.0
2057,0.0,7.0
2058,1.0,2.0
2059,1.0,3.0
2060,3.0,7.0
2061,0.0,5.0
2062,2.0,3.0
2063,0.0,6.0
2064,2.0,5.0
2065,2.0,5.0
2066,0.0,5.0
2067,2.0,3.0
2068,0.0,3.0
2069,1.0,5.0
2070,4.0,5.0
2071,2.0,6.0
2072,1.0,5.0
2073,3.0,4.0
2074,4.0,7.0
2075,1.0,6.0
2076,0.0,3.0
2077,2.0,3.0
2078,2.0,4.0
2079,1.0,3.0
2080,0.0,7.0
2081,1.0,6.0
2082,2.0,2.0
2083,0.0,2.0
2084,0.0,5.0
2085,1.0,4.0
2086,1.0,3.0
2087,1.0,3.0
2088,1.0,0.0
2089,0.0,2.0
2090,1.0,4.0
2091,2.0,3.0
2092,2.0,4.0
2093,2.0,4.0
2094,1.0,10.0
2095,4.0,3.0
2096,2.0,11.0
2097,1.0,3.0
2098,0.0,4.0
2099,2.0,4.0
2100,0.0,7.0
