Year,Warm,Cold
2020,0.0,4.0
2021,1.0,11.0
2022,1.0,3.0
2023,0.0,4.0
2024,1.0,3.0
2025,1.0,4.0
2026,1.0,1.0
2027,2.0,4.0
2028,2.0,5.0
2029,3.0,4.0
2030,3.0,4.0
2031,0.0,4.0
2032,2.0,2.0
2033,0.0,7.0
2034,0.0,5.0
2035,1.0,3.0
2036,1.0,5.0
2037,2.0,4.0
2038,0.0,3.0
2039,1.0,6.0
2040,1.0,3.0
2041,3.0,4.0
2042,1.0,4.0
2043,1.0,4.0
2044,5.0,4.0
2045,1.0,1.0
2046,2.0,3.0
2047,3.0,3.0
2048,2.0,6.0
2049,1.0,8.0
2050,1.0,5.0
2051,0.0,5.0
2052,1.0,9.0
2053,1.0,5.0
2054,1.0,6.0
2055,2.0,4.0
2056,1.0,3.0
2057,2.0,4.0
2058,3.0,4.0
2059,1.0,4.0
2060,1.0,3.0
2061,2.0,3.0
2062,2.0,6.0
2063,2.0,6.0
2064,3.0,5.0
2065,0.0,3.0
2066,1.0,5.0
2067,1.0,5.0
2068,5.0,2.0
2069,1.0,2.0
2070,3.0,2.0
2071,1.0,4.0
2072,6.0,1.0
2073,0.0,8.0
2074,1.0,4.0
2075,1.0,6.0
2076,4.0,3.0
2077,3.0,4.0
2078,0.0,4.0
2079,2.0,2.0
2080,1.0,3.0
2081,5.0,7.0
2082,2.0,1.0
2083,2.0,6.0
2084,1.0,7.0
2085,0.0,3.0
2086,4.0,7.0
2087,2.0,3.0
2088,0.0,4.0
2089,2.0,7.0
2090,1.0,5.0
2091,2.0,3.0
2092,1.0,5.0
2093,0.0,8.0
2094,4.0,3.0
2095,3.0,5.0
2096,3.0,4.0
2097,1.0,2.0
2098,4.0,5.0
2099,1.0,2.0
2100,1.0,2.0
