Year,Warm,Cold
2020,0.0,3.0
2021,2.0,5.0
2022,3.0,3.0
2023,0.0,4.0
2024,2.0,7.0
2025,2.0,4.0
2026,0.0,3.0
2027,1.0,6.0
2028,0.0,4.0
2029,1.0,2.0
2030,3.0,8.0
2031,2.0,5.0
2032,5.0,7.0
2033,1.0,3.0
2034,2.0,2.0
2035,1.0,4.0
2036,3.0,5.0
2037,4.0,2.0
2038,1.0,6.0
2039,1.0,7.0
2040,3.0,2.0
2041,1.0,4.0
2042,4.0,9.0
2043,3.0,6.0
2044,5.0,7.0
2045,1.0,4.0
2046,0.0,1.0
2047,2.0,4.0
2048,2.0,5.0
2049,2.0,4.0
2050,3.0,3.0
2051,2.0,2.0
2052,1.0,8.0
2053,1.0,2.0
2054,0.0,8.0
2055,1.0,6.0
2056,3.0,3.0
2057,1.0,2.0
2058,0.0,10.0
2059,2.0,6.0
2060,4.0,3.0
2061,3.0,5.0
2062,3.0,2.0
2063,0.0,3.0
2064,2.0,2.0
2065,0.0,7.0
2066,0.0,4.0
2067,1.0,6.0
2068,2.0,6.0
2069,0.0,4.0
2070,2.0,2.0
2071,0.0,3.0
2072,1.0,3.0
2073,3.0,4.0
2074,1.0,6.0
2075,3.0,3.0
2076,1.0,1.0
2077,1.0,6.0
2078,1.0,4.0
2079,2.0,4.0
2080,1.0,3.0
2081,2.0,5.0
2082,1.0,1.0
2083,2.0,0.0
2084,2.0,3.0
2085,2.0,7.0
2086,3.0,11.0
2087,1.0,4.0
2088,1.0,1.0
2089,1.0,5.0
2090,2.0,4.0
2091,3.0,3.0
2092,1.0,5.0
2093,2.0,7.0
2094,0.0,0.0
2095,0.0,4.0
2096,0.0,6.0
2097,4.0,5.0
2098,0.0,4.0
2099,2.0,4.0
2100,1.0,5.0
