Year,Warm,Cold
2020,0.0,6.0
2021,1.0,6.0
2022,1.0,4.0
2023,2.0,1.0
2024,2.0,4.0
2025,1.0,6.0
2026,3.0,4.0
2027,1.0,4.0
2028,1.0,9.0
2029,2.0,7.0
2030,0.0,3.0
2031,0.0,3.0
2032,0.0,3.0
2033,1.0,10.0
2034,2.0,2.0
2035,2.0,6.0
2036,0.0,3.0
2037,0.0,3.0
2038,1.0,5.0
2039,2.0,5.0
2040,0.0,3.0
2041,1.0,1.0
2042,1.0,2.0
2043,1.0,6.0
2044,2.0,7.0
2045,1.0,10.0
2046,0.0,3.0
2047,2.0,7.0
2048,0.0,2.0
2049,6.0,4.0
2050,1.0,1.0
2051,0.0,6.0
2052,1.0,3.0
2053,3.0,5.0
2054,2.0,3.0
2055,5.0,4.0
2056,1.0,4.0
2057,1.0,6.0
2058,2.0,4.0
2059,2.0,5.0
2060,1.0,7.0
2061,0.0,4.0
2062,2.0,4.0
2063,0.0,8.0
2064,1.0,5.0
2065,1.0,4.0
2066,5.0,5.0
2067,1.0,3.0
2068,1.0,5.0
2069,1.0,4.0
2070,1.0,4.0
2071,3.0,5.0
2072,0.0,4.0
2073,1.0,8.0
2074,1.0,4.0
2075,2.0,2.0
2076,0.0,7.0
2077,1.0,5.0
2078,1.0,3.0
2079,3.0,3.0
2080,4.0,3.0
2081,0.0,2.0
2082,3.0,4.0
2083,2.0,3.0
2084,2.0,4.0
2085,1.0,5.0
2086,1.0,5.0
2087,1.0,3.0
2088,0.0,4.0
2089,0.0,3.0
2090,1.0,6.0
2091,3.0,2.0
2092,2.0,4.0
2093,1.0,3.0
2094,1.0,5.0
2095,2.0,7.0
2096,2.0,3.0
2097,0.0,3.0
2098,2.0,6.0
2099,0.0,3.0
2100,0.0,2.0
