Year,Warm,Cold
2020,2.0,7.0
2021,2.0,2.0
2022,1.0,6.0
2023,1.0,4.0
2024,2.0,2.0
2025,4.0,7.0
2026,6.0,2.0
2027,0.0,6.0
2028,3.0,3.0
2029,1.0,7.0
2030,2.0,2.0
2031,3.0,5.0
2032,1.0,6.0
2033,2.0,1.0
2034,0.0,2.0
2035,2.0,5.0
2036,3.0,5.0
2037,2.0,4.0
2038,2.0,5.0
2039,0.0,1.0
2040,0.0,4.0
2041,2.0,6.0
2042,5.0,1.0
2043,3.0,2.0
2044,0.0,6.0
2045,3.0,5.0
2046,2.0,5.0
2047,1.0,3.0
2048,1.0,4.0
2049,1.0,2.0
2050,1.0,1.0
2051,1.0,4.0
2052,2.0,5.0
2053,1.0,2.0
2054,2.0,7.0
2055,3.0,4.0
2056,2.0,3.0
2057,2.0,3.0
2058,4.0,2.0
2059,0.0,3.0
2060,2.0,6.0
2061,0.0,4.0
2062,2.0,6.0
2063,3.0,0.0
2064,0.0,3.0
2065,0.0,1.0
2066,1.0,5.0
2067,2.0,3.0
2068,0.0,5.0
2069,3.0,4.0
2070,0.0,1.0
2071,3.0,7.0
2072,2.0,7.0
2073,1.0,4.0
2074,0.0,11.0
2075,3.0,5.0
2076,0.0,5.0
2077,1.0,3.0
2078,7.0,6.0
2079,0.0,7.0
2080,0.0,4.0
2081,1.0,5.0
2082,2.0,2.0
2083,1.0,3.0
2084,2.0,7.0
2085,2.0,9.0
2086,1.0,4.0
2087,1.0,4.0
2088,1.0,5.0
2089,2.0,2.0
2090,1.0,9.0
2091,1.0,3.0
2092,1.0,4.0
2093,1.0,4.0
2094,2.0,5.0
2095,1.0,2.0
2096,2.0,5.0
2097,3.0,4.0
2098,1.0,4.0
2099,3.0,6.0
2100,2.0,2.0
