Year,Warm,Cold
2020,5.0,4.0
2021,3.0,1.0
2022,3.0,1.0
2023,2.0,6.0
2024,1.0,4.0
2025,3.0,8.0
2026,1.0,4.0
2027,0.0,4.0
2028,1.0,5.0
2029,3.0,5.0
2030,2.0,6.0
2031,0.0,3.0
2032,3.0,4.0
2033,1.0,9.0
2034,0.0,4.0
2035,0.0,4.0
2036,1.0,3.0
2037,1.0,3.0
2038,2.0,5.0
2039,3.0,7.0
2040,1.0,5.0
2041,2.0,2.0
2042,0.0,2.0
2043,0.0,9.0
2044,1.0,2.0
2045,1.0,5.0
2046,2.0,3.0
2047,1.0,6.0
2048,1.0,5.0
2049,3.0,5.0
2050,0.0,4.0
2051,0.0,6.0
2052,2.0,2.0
2053,3.0,5.0
2054,2.0,3.0
2055,2.0,3.0
2056,1.0,2.0
2057,2.0,5.0
2058,0.0,5.0
2059,0.0,2.0
2060,2.0,5.0
2061,1.0,5.0
2062,2.0,5.0
2063,1.0,9.0
2064,0.0,1.0
2065,0.0,4.0
2066,5.0,9.0
2067,2.0,3.0
2068,0.0,2.0
2069,2.0,3.0
2070,3.0,3.0
2071,1.0,3.0
2072,0.0,5.0
2073,3.0,8.0
2074,0.0,3.0
2075,1.0,6.0
2076,2.0,4.0
2077,2.0,5.0
2078,2.0,6.0
2079,1.0,1.0
2080,3.0,5.0
2081,2.0,3.0
2082,3.0,9.0
2083,0.0,5.0
2084,0.0,4.0
2085,0.0,4.0
2086,0.0,5.0
2087,2.0,2.0
2088,1.0,7.0
2089,0.0,9.0
2090,2.0,1.0
2091,0.0,7.0
2092,2.0,4.0
2093,1.0,6.0
2094,1.0,2.0
2095,1.0,6.0
2096,2.0,6.0
2097,0.0,0.0
2098,2.0,5.0
2099,0.0,6.0
2100,1.0,3.0
