Year,Warm,Cold
2020,2.0,6.0
2021,3.0,4.0
2022,0.0,3.0
2023,0.0,3.0
2024,1.0,4.0
2025,0.0,7.0
2026,1.0,5.0
2027,0.0,2.0
2028,0.0,4.0
2029,3.0,2.0
2030,4.0,5.0
2031,0.0,2.0
2032,2.0,5.0
2033,1.0,0.0
2034,4.0,5.0
2035,0.0,2.0
2036,0.0,1.0
2037,4.0,3.0
2038,1.0,4.0
2039,2.0,2.0
2040,1.0,3.0
2041,3.0,5.0
2042,2.0,6.0
2043,3.0,3.0
2044,0.0,1.0
2045,2.0,1.0
2046,2.0,7.0
2047,3.0,4.0
2048,2.0,8.0
2049,1.0,5.0
2050,0.0,6.0
2051,1.0,2.0
2052,1.0,6.0
2053,0.0,3.0
2054,3.0,3.0
2055,0.0,5.0
2056,2.0,2.0
2057,1.0,11.0
2058,1.0,0.0
2059,3.0,7.0
2060,1.0,3.0
2061,0.0,11.0
2062,1.0,4.0
2063,2.0,2.0
2064,3.0,2.0
2065,1.0,9.0
2066,0.0,6.0
2067,2.0,5.0
2068,2.0,6.0
2069,3.0,4.0
2070,3.0,4.0
2071,1.0,5.0
2072,3.0,4.0
2073,2.0,3.0
2074,2.0,8.0
2075,1.0,6.0
2076,1.0,0.0
2077,1.0,4.0
2078,1.0,4.0
2079,4.0,3.0
2080,2.0,3.0
2081,3.0,4.0
2082,0.0,3.0
2083,0.0,8.0
2084,0.0,2.0
2085,2.0,4.0
2086,2.0,1.0
2087,2.0,3.0
2088,2.0,2.0
2089,1.0,1.0
2090,3.0,6.0
2091,0.0,1.0
2092,1.0,5.0
2093,0.0,5.0
2094,1.0,3.0
2095,0.0,8.0
2096,2.0,3.0
2097,1.0,4.0
2098,1.0,5.0
2099,1.0,5.0
2100,0.0,4.0
