Year,Warm,Cold
2020,1.0,2.0
2021,3.0,3.0
2022,0.0,3.0
2023,4.0,6.0
2024,2.0,4.0
2025,0.0,3.0
2026,2.0,4.0
2027,3.0,7.0
2028,1.0,6.0
2029,0.0,4.0
2030,1.0,5.0
2031,4.0,4.0
2032,0.0,3.0
2033,1.0,3.0
2034,2.0,2.0
2035,2.0,3.0
2036,2.0,8.0
2037,2.0,5.0
2038,0.0,2.0
2039,3.0,2.0
2040,2.0,2.0
2041,0.0,6.0
2042,0.0,7.0
2043,2.0,5.0
2044,0.0,4.0
2045,3.0,3.0
2046,0.0,6.0
2047,1.0,2.0
2048,0.0,3.0
2049,4.0,2.0
2050,1.0,6.0
2051,1.0,5.0
2052,1.0,6.0
2053,2.0,6.0
2054,0.0,4.0
2055,1.0,4.0
2056,0.0,5.0
2057,2.0,7.0
2058,2.0,3.0
2059,0.0,2.0
2060,2.0,6.0
2061,0.0,7.0
2062,1.0,4.0
2063,1.0,6.0
2064,2.0,3.0
2065,1.0,6.0
2066,2.0,0.0
2067,3.0,5.0
2068,1.0,2.0
2069,3.0,3.0
2070,1.0,7.0
2071,4.0,4.0
2072,2.0,4.0
2073,0.0,7.0
2074,0.0,2.0
2075,1.0,2.0
2076,2.0,5.0
2077,0.0,2.0
2078,1.0,5.0
2079,1.0,2.0
2080,3.0,4.0
2081,2.0,5.0
2082,1.0,4.0
2083,0.0,7.0
2084,2.0,2.0
2085,1.0,4.0
2086,3.0,2.0
2087,1.0,5.0
2088,0.0,5.0
2089,1.0,6.0
2090,3.0,2.0
2091,0.0,5.0
2092,1.0,3.0
2093,1.0,1.0
2094,1.0,1.0
2095,2.0,7.0
2096,1.0,2.0
2097,1.0,2.0
2098,0.0,1.0
2099,1.0,4.0
2100,1.0,3.0
