Year,Warm,Cold
2020,1.0,1.0
2021,2.0,3.0
2022,2.0,5.0
2023,1.0,6.0
2024,0.0,1.0
2025,1.0,3.0
2026,3.0,1.0
2027,3.0,2.0
2028,0.0,3.0
2029,1.0,6.0
2030,1.0,3.0
2031,2.0,4.0
2032,2.0,9.0
2033,0.0,2.0
2034,2.0,3.0
2035,1.0,3.0
2036,1.0,6.0
2037,1.0,4.0
2038,1.0,1.0
2039,1.0,3.0
2040,1.0,3.0
2041,3.0,4.0
2042,2.0,4.0
2043,3.0,3.0
2044,2.0,4.0
2045,1.0,5.0
2046,0.0,7.0
2047,1.0,5.0
2048,1.0,2.0
2049,1.0,5.0
2050,1.0,4.0
2051,1.0,7.0
2052,0.0,4.0
2053,6.0,4.0
2054,0.0,2.0
2055,0.0,4.0
2056,1.0,3.0
2057,2.0,0.0
2058,3.0,7.0
2059,2.0,4.0
2060,1.0,4.0
2061,3.0,3.0
2062,2.0,3.0
2063,1.0,6.0
2064,2.0,5.0
2065,1.0,1.0
2066,0.0,2.0
2067,2.0,3.0
2068,0.0,3.0
2069,0.0,5.0
2070,1.0,2.0
2071,5.0,6.0
2072,0.0,6.0
2073,2.0,0.0
2074,3.0,5.0
2075,2.0,3.0
2076,0.0,6.0
2077,0.0,4.0
2078,1.0,3.0
2079,0.0,6.0
2080,1.0,6.0
2081,1.0,1.0
2082,1.0,3.0
2083,1.0,2.0
2084,0.0,2.0
2085,0.0,2.0
2086,0.0,6.0
2087,1.0,4.0
2088,0.0,4.0
2089,3.0,5.0
2090,1.0,5.0
2091,5.0,3.0
2092,3.0,3.0
2093,1.0,3.0
2094,2.0,3.0
2095,1.0,3.0
2096,0.0,6.0
2097,1.0,3.0
2098,2.0,5.0
2099,1.0,5.0
2100,1.0,3.0
