Year,Warm,Cold
2020,2.0,4.0
2021,1.0,5.0
2022,1.0,7.0
2023,2.0,5.0
2024,1.0,4.0
2025,1.0,4.0
2026,3.0,6.0
2027,1.0,8.0
2028,3.0,3.0
2029,1.0,3.0
2030,1.0,1.0
2031,3.0,5.0
2032,2.0,5.0
2033,2.0,6.0
2034,0.0,4.0
2035,3.0,1.0
2036,2.0,3.0
2037,5.0,0.0
2038,3.0,4.0
2039,0.0,3.0
2040,2.0,2.0
2041,1.0,1.0
2042,2.0,4.0
2043,1.0,2.0
2044,1.0,5.0
2045,1.0,7.0
2046,3.0,4.0
2047,4.0,1.0
2048,3.0,5.0
2049,2.0,2.0
2050,1.0,1.0
2051,2.0,4.0
2052,2.0,1.0
2053,0.0,3.0
2054,1.0,4.0
2055,3.0,4.0
2056,3.0,4.0
2057,1.0,6.0
2058,1.0,5.0
2059,2.0,1.0
2060,1.0,4.0
2061,0.0,3.0
2062,1.0,6.0
2063,0.0,3.0
2064,0.0,2.0
2065,1.0,5.0
2066,2.0,4.0
2067,1.0,3.0
2068,0.0,6.0
2069,1.0,6.0
2070,0.0,9.0
2071,2.0,2.0
2072,2.0,4.0
2073,3.0,3.0
2074,2.0,4.0
2075,0.0,6.0
2076,0.0,2.0
2077,0.0,3.0
2078,0.0,3.0
2079,4.0,6.0
2080,3.0,2.0
2081,2.0,1.0
2082,0.0,4.0
2083,3.0,0.0
2084,1.0,0.0
2085,2.0,4.0
2086,2.0,2.0
2087,4.0,4.0
2088,2.0,11.0
2089,1.0,3.0
2090,1.0,8.0
2091,2.0,4.0
2092,1.0,2.0
2093,2.0,5.0
2094,2.0,3.0
2095,2.0,2.0
2096,0.0,6.0
2097,1.0,3.0
2098,1.0,3.0
2099,0.0,4.0
2100,1.0,3.0
