Year,Warm,Cold
2020,1.0,3.0
2021,1.0,2.0
2022,3.0,6.0
2023,1.0,5.0
2024,1.0,2.0
2025,2.0,4.0
2026,3.0,6.0
2027,0.0,4.0
2028,0.0,7.0
2029,2.0,7.0
2030,4.0,8.0
2031,2.0,5.0
2032,2.0,1.0
2033,0.0,3.0
2034,1.0,3.0
2035,0.0,3.0
2036,1.0,3.0
2037,2.0,2.0
2038,1.0,3.0
2039,0.0,3.0
2040,3.0,6.0
2041,1.0,9.0
2042,3.0,3.0
2043,2.0,1.0
2044,0.0,3.0
2045,2.0,2.0
2046,0.0,3.0
2047,1.0,2.0
2048,0.0,4.0
2049,2.0,2.0
2050,0.0,2.0
2051,2.0,5.0
2052,0.0,1.0
2053,2.0,3.0
2054,0.0,2.0
2055,0.0,3.0
2056,1.0,6.0
2057,2.0,3.0
2058,0.0,7.0
2059,4.0,3.0
2060,1.0,3.0
2061,1.0,3.0
2062,0.0,3.0
2063,5.0,1.0
2064,1.0,2.0
2065,1.0,2.0
2066,5.0,2.0
2067,2.0,6.0
2068,0.0,9.0
2069,1.0,4.0
2070,3.0,4.0
2071,0.0,4.0
2072,0.0,7.0
2073,1.0,0.0
2074,3.0,3.0
2075,3.0,6.0
2076,0.0,3.0
2077,2.0,6.0
2078,0.0,4.0
2079,0.0,5.0
2080,2.0,2.0
2081,1.0,5.0
2082,2.0,6.0
2083,1.0,7.0
2084,0.0,6.0
2085,0.0,4.0
2086,2.0,6.0
2087,0.0,5.0
2088,3.0,4.0
2089,2.0,2.0
2090,1.0,5.0
2091,0.0,3.0
2092,1.0,6.0
2093,2.0,3.0
2094,2.0,6.0
2095,4.0,4.0
2096,1.0,6.0
2097,1.0,3.0
2098,3.0,6.0
2099,2.0,3.0
2100,0.0,6.0
