Year,Warm,Cold
2020,1.0,5.0
2021,1.0,8.0
2022,0.0,4.0
2023,2.0,6.0
2024,1.0,6.0
2025,2.0,4.0
2026,3.0,4.0
2027,2.0,2.0
2028,0.0,5.0
2029,3.0,0.0
2030,2.0,4.0
2031,1.0,4.0
2032,1.0,6.0
2033,1.0,1.0
2034,2.0,7.0
2035,0.0,2.0
2036,0.0,3.0
2037,1.0,5.0
2038,1.0,2.0
2039,0.0,10.0
2040,2.0,2.0
2041,2.0,4.0
2042,3.0,6.0
2043,1.0,4.0
2044,1.0,0.0
2045,0.0,7.0
2046,3.0,5.0
2047,1.0,4.0
2048,2.0,6.0
2049,3.0,3.0
2050,3.0,3.0
2051,3.0,2.0
2052,2.0,1.0
2053,1.0,1.0
2054,0.0,4.0
2055,1.0,3.0
2056,1.0,4.0
2057,2.0,4.0
2058,3.0,3.0
2059,1.0,4.0
2060,1.0,3.0
2061,2.0,1.0
2062,0.0,4.0
2063,0.0,4.0
2064,2.0,4.0
2065,1.0,4.0
2066,1.0,4.0
2067,3.0,2.0
2068,3.0,14.0
2069,3.0,2.0
2070,1.0,4.0
2071,1.0,4.0
2072,1.0,4.0
2073,2.0,3.0
2074,5.0,0.0
2075,0.0,4.0
2076,3.0,5.0
2077,0.0,6.0
2078,1.0,7.0
2079,0.0,7.0
2080,1.0,3.0
2081,0.0,5.0
2082,2.0,3.0
2083,0.0,3.0
2084,3.0,3.0
2085,2.0,4.0
2086,2.0,6.0
2087,2.0,6.0
2088,1.0,5.0
2089,2.0,0.0
2090,1.0,2.0
2091,3.0,4.0
2092,0.0,5.0
2093,0.0,7.0
2094,1.0,4.0
2095,1.0,2.0
2096,1.0,8.0
2097,2.0,5.0
2098,2.0,8.0
2099,3.0,3.0
2100,2.0,4.0
