Year,Warm,Cold
2020,0.0,3.0
2021,1.0,4.0
2022,2.0,4.0
2023,2.0,8.0
2024,4.0,6.0
2025,0.0,5.0
2026,0.0,3.0
2027,6.0,10.0
2028,0.0,4.0
2029,0.0,1.0
2030,0.0,5.0
2031,0.0,4.0
2032,1.0,5.0
2033,1.0,3.0
2034,3.0,2.0
2035,1.0,5.0
2036,3.0,3.0
2037,2.0,4.0
2038,3.0,5.0
2039,1.0,4.0
2040,2.0,3.0
2041,2.0,1.0
2042,1.0,5.0
2043,3.0,6.0
2044,2.0,1.0
2045,0.0,5.0
2046,0.0,1.0
2047,1.0,2.0
2048,2.0,8.0
2049,0.0,6.0
2050,1.0,1.0
2051,2.0,2.0
2052,3.0,8.0
2053,1.0,3.0
2054,6.0,3.0
2055,3.0,7.0
2056,0.0,7.0
2057,0.0,5.0
2058,3.0,2.0
2059,1.0,4.0
2060,1.0,1.0
2061,0.0,3.0
2062,2.0,2.0
2063,1.0,7.0
2064,1.0,7.0
2065,3.0,7.0
2066,2.0,6.0
2067,1.0,1.0
2068,3.0,2.0
2069,2.0,3.0
2070,0.0,6.0
2071,0.0,3.0
2072,1.0,4.0
2073,3.0,3.0
2074,2.0,3.0
2075,2.0,4.0
2076,2.0,3.0
2077,2.0,2.0
2078,1.0,4.0
2079,0.0,1.0
2080,1.0,5.0
2081,2.0,1.0
2082,1.0,0.0
2083,0.0,2.0
2084,2.0,4.0
2085,1.0,9.0
2086,0.0,2.0
2087,1.0,4.0
2088,1.0,3.0
2089,0.0,0.0
2090,0.0,4.0
2091,0.0,2.0
2092,0.0,7.0
2093,3.0,4.0
2094,0.0,4.0
2095,1.0,4.0
2096,1.0,8.0
2097,1.0,1.0
2098,0.0,6.0
2099,0.0,5.0
2100,0.0,3.0
