Year,Warm,Cold
2020,1.0,5.0
2021,2.0,3.0
2022,2.0,3.0
2023,3.0,1.0
2024,2.0,8.0
2025,0.0,4.0
2026,1.0,4.0
2027,1.0,7.0
2028,1.0,4.0
2029,1.0,1.0
2030,2.0,3.0
2031,1.0,2.0
2032,1.0,2.0
2033,2.0,9.0
2034,2.0,6.0
2035,4.0,5.0
2036,4.0,3.0
2037,1.0,10.0
2038,0.0,2.0
2039,3.0,9.0
2040,6.0,5.0
2041,0.0,1.0
2042,1.0,2.0
2043,3.0,8.0
2044,1.0,9.0
2045,3.0,2.0
2046,3.0,2.0
2047,1.0,3.0
2048,1.0,4.0
2049,0.0,4.0
2050,1.0,6.0
2051,3.0,4.0
2052,0.0,4.0
2053,2.0,4.0
2054,1.0,6.0
2055,1.0,2.0
2056,2.0,4.0
2057,0.0,7.0
2058,0.0,5.0
2059,1.0,2.0
2060,0.0,2.0
2061,0.0,3.0
2062,3.0,8.0
2063,2.0,6.0
2064,1.0,3.0
2065,1.0,3.0
2066,2.0,3.0
2067,0.0,4.0
2068,2.0,1.0
2069,3.0,2.0
2070,3.0,5.0
2071,0.0,1.0
2072,3.0,3.0
2073,1.0,6.0
2074,0.0,1.0
2075,1.0,3.0
2076,1.0,5.0
2077,0.0,8.0
2078,2.0,4.0
2079,1.0,2.0
2080,0.0,3.0
2081,1.0,5.0
2082,1.0,3.0
2083,1.0,7.0
2084,1.0,8.0
2085,1.0,1.0
2086,4.0,4.0
2087,1.0,6.0
2088,2.0,2.0
2089,0.0,4.0
2090,1.0,9.0
2091,4.0,7.0
2092,1.0,3.0
2093,0.0,4.0
2094,1.0,3.0
2095,0.0,2.0
2096,5.0,2.0
2097,2.0,1.0
2098,2.0,4.0
2099,1.0,2.0
2100,2.0,2.0
