Year,Warm,Cold
2020,2.0,6.0
2021,0.0,5.0
2022,1.0,3.0
2023,3.0,4.0
2024,1.0,3.0
2025,2.0,4.0
2026,0.0,1.0
2027,1.0,8.0
2028,0.0,5.0
2029,1.0,4.0
2030,1.0,4.0
2031,0.0,2.0
2032,2.0,5.0
2033,0.0,3.0
2034,2.0,0.0
2035,2.0,4.0
2036,2.0,5.0
2037,2.0,10.0
2038,0.0,2.0
2039,0.0,2.0
2040,2.0,7.0
2041,4.0,1.0
2042,1.0,9.0
2043,1.0,7.0
2044,0.0,5.0
2045,0.0,6.0
2046,3.0,2.0
2047,0.0,6.0
2048,1.0,3.0
2049,0.0,4.0
2050,1.0,5.0
2051,4.0,2.0
2052,2.0,5.0
2053,4.0,3.0
2054,2.0,3.0
2055,5.0,3.0
2056,2.0,8.0
2057,1.0,5.0
2058,0.0,3.0
2059,4.0,5.0
2060,0.0,4.0
2061,0.0,2.0
2062,2.0,4.0
2063,1.0,3.0
2064,0.0,3.0
2065,0.0,5.0
2066,2.0,5.0
2067,0.0,5.0
2068,1.0,6.0
2069,1.0,3.0
2070,0.0,2.0
2071,4.0,4.0
2072,1.0,5.0
2073,1.0,2.0
2074,1.0,9.0
2075,1.0,3.0
2076,4.0,3.0
2077,1.0,4.0
2078,1.0,6.0
2079,1.0,3.0
2080,1.0,2.0
2081,1.0,2.0
2082,0.0,5.0
2083,2.0,2.0
2084,1.0,3.0
2085,1.0,6.0
2086,2.0,4.0
2087,1.0,3.0
2088,1.0,6.0
2089,0.0,4.0
2090,0.0,3.0
2091,1.0,4.0
2092,1.0,6.0
2093,0.0,4.0
2094,1.0,5.0
2095,3.0,4.0
2096,1.0,4.0
2097,2.0,9.0
2098,0.0,5.0
2099,4.0,2.0
2100,2.0,11.0
