Year,Warm,Cold
2020,1.0,4.0
2021,0.0,3.0
2022,2.0,4.0
2023,3.0,5.0
2024,1.0,3.0
2025,0.0,2.0
2026,1.0,2.0
2027,1.0,4.0
2028,0.0,6.0
2029,1.0,5.0
2030,2.0,6.0
2031,0.0,5.0
2032,2.0,1.0
2033,2.0,3.0
2034,2.0,7.0
2035,4.0,3.0
2036,1.0,6.0
2037,2.0,7.0
2038,2.0,3.0
2039,5.0,6.0
2040,4.0,4.0
2041,2.0,1.0
2042,1.0,5.0
2043,1.0,2.0
2044,2.0,6.0
2045,3.0,2.0
2046,1.0,2.0
2047,0.0,4.0
2048,0.0,7.0
2049,0.0,11.0
2050,3.0,2.0
2051,1.0,4.0
2052,1.0,7.0
2053,3.0,3.0
2054,0.0,4.0
2055,0.0,6.0
2056,1.0,5.0
2057,3.0,2.0
2058,3.0,6.0
2059,3.0,4.0
2060,2.0,6.0
2061,3.0,6.0
2062,2.0,4.0
2063,3.0,2.0
2064,2.0,5.0
2065,1.0,5.0
2066,2.0,3.0
2067,2.0,3.0
2068,2.0,5.0
2069,4.0,3.0
2070,2.0,2.0
2071,1.0,6.0
2072,0.0,6.0
2073,1.0,2.0
2074,1.0,4.0
2075,1.0,6.0
2076,1.0,3.0
2077,3.0,1.0
2078,1.0,4.0
2079,0.0,8.0
2080,3.0,4.0
2081,1.0,5.0
2082,3.0,1.0
2083,3.0,1.0
2084,1.0,6.0
2085,1.0,7.0
2086,4.0,2.0
2087,2.0,3.0
2088,0.0,5.0
2089,1.0,3.0
2090,2.0,4.0
2091,1.0,5.0
2092,1.0,7.0
2093,2.0,10.0
2094,5.0,3.0
2095,1.0,2.0
2096,0.0,1.0
2097,5.0,4.0
2098,3.0,4.0
2099,2.0,3.0
2100,2.0,4.0
