Year,Warm,Cold
2020,5.0,6.0
2021,0.0,4.0
2022,0.0,6.0
2023,0.0,5.0
2024,3.0,6.0
2025,1.0,7.0
2026,3.0,3.0
2027,3.0,5.0
2028,3.0,4.0
2029,3.0,3.0
2030,0.0,5.0
2031,2.0,3.0
2032,4.0,4.0
2033,2.0,4.0
2034,2.0,1.0
2035,1.0,4.0
2036,1.0,5.0
2037,1.0,3.0
2038,1.0,5.0
2039,3.0,4.0
2040,1.0,2.0
2041,2.0,6.0
2042,0.0,1.0
2043,1.0,6.0
2044,1.0,6.0
2045,0.0,6.0
2046,1.0,2.0
2047,2.0,4.0
2048,1.0,3.0
2049,2.0,1.0
2050,0.0,3.0
2051,1.0,6.0
2052,3.0,5.0
2053,2.0,5.0
2054,0.0,1.0
2055,0.0,2.0
2056,1.0,3.0
2057,2.0,5.0
2058,4.0,4.0
2059,3.0,6.0
2060,2.0,8.0
2061,3.0,5.0
2062,2.0,5.0
2063,2.0,3.0
2064,1.0,8.0
2065,1.0,2.0
2066,3.0,4.0
2067,2.0,3.0
2068,0.0,7.0
2069,0.0,5.0
2070,2.0,5.0
2071,2.0,3.0
2072,2.0,6.0
2073,0.0,4.0
2074,2.0,3.0
2075,3.0,6.0
2076,2.0,6.0
2077,0.0,2.0
2078,4.0,7.0
2079,0.0,3.0
2080,1.0,4.0
2081,1.0,0.0
2082,1.0,3.0
2083,2.0,4.0
2084,1.0,4.0
2085,1.0,8.0
2086,0.0,4.0
2087,2.0,3.0
2088,2.0,3.0
2089,1.0,5.0
2090,3.0,4.0
2091,0.0,6.0
2092,1.0,4.0
2093,0.0,2.0
2094,2.0,3.0
2095,3.0,5.0
2096,2.0,3.0
2097,0.0,5.0
2098,0.0,7.0
2099,2.0,3.0
2100,3.0,3.0
