Year,Warm,Cold
2020,3.0,2.0
2021,1.0,1.0
2022,2.0,2.0
2023,4.0,3.0
2024,3.0,4.0
2025,2.0,4.0
2026,1.0,3.0
2027,3.0,4.0
2028,1.0,4.0
2029,0.0,5.0
2030,2.0,2.0
2031,3.0,2.0
2032,3.0,3.0
2033,0.0,8.0
2034,1.0,3.0
2035,3.0,9.0
2036,1.0,3.0
2037,2.0,9.0
2038,5.0,4.0
2039,0.0,3.0
2040,1.0,7.0
2041,4.0,5.0
2042,2.0,4.0
2043,2.0,4.0
2044,2.0,3.0
2045,2.0,3.0
2046,3.0,1.0
2047,3.0,0.0
2048,1.0,3.0
2049,1.0,3.0
2050,2.0,1.0
2051,2.0,1.0
2052,1.0,3.0
2053,2.0,5.0
2054,2.0,2.0
2055,3.0,5.0
2056,5.0,5.0
2057,2.0,6.0
2058,1.0,6.0
2059,1.0,2.0
2060,3.0,7.0
2061,3.0,5.0
2062,1.0,5.0
2063,3.0,5.0
2064,2.0,0.0
2065,0.0,3.0
2066,2.0,4.0
2067,1.0,3.0
2068,1.0,3.0
2069,1.0,6.0
2070,2.0,4.0
2071,0.0,3.0
2072,0.0,6.0
2073,1.0,4.0
2074,1.0,10.0
2075,0.0,6.0
2076,0.0,3.0
2077,3.0,7.0
2078,4.0,4.0
2079,0.0,7.0
2080,0.0,5.0
2081,6.0,6.0
2082,2.0,6.0
2083,3.0,5.0
2084,3.0,1.0
2085,0.0,3.0
2086,4.0,4.0
2087,2.0,2.0
2088,1.0,4.0
2089,2.0,8.0
2090,1.0,8.0
2091,2.0,4.0
2092,1.0,4.0
2093,1.0,8.0
2094,1.0,2.0
2095,3.0,4.0
2096,1.0,3.0
2097,2.0,2.0
2098,0.0,5.0
2099,3.0,7.0
2100,1.0,6.0
