Year,Warm,Cold
2020,2.0,7.0
2021,1.0,7.0
2022,2.0,4.0
2023,1.0,1.0
2024,0.0,4.0
2025,1.0,5.0
2026,4.0,7.0
2027,1.0,4.0
2028,2.0,3.0
2029,0.0,6.0
2030,2.0,6.0
2031,0.0,3.0
2032,0.0,5.0
2033,2.0,4.0
2034,2.0,8.0
2035,3.0,2.0
2036,0.0,2.0
2037,1.0,6.0
2038,2.0,7.0
2039,0.0,3.0
2040,0.0,6.0
2041,1.0,5.0
2042,0.0,3.0
2043,2.0,4.0
2044,2.0,5.0
2045,2.0,0.0
2046,2.0,3.0
2047,0.0,6.0
2048,1.0,3.0
2049,2.0,4.0
2050,0.0,5.0
2051,1.0,10.0
2052,1.0,6.0
2053,2.0,4.0
2054,3.0,6.0
2055,2.0,7.0
2056,0.0,2.0
2057,2.0,5.0
2058,1.0,4.0
2059,3.0,2.0
2060,1.0,7.0
2061,2.0,11.0
2062,0.0,5.0
2063,0.0,4.0
2064,4.0,4.0
2065,0.0,6.0
2066,2.0,11.0
2067,0.0,5.0
2068,3.0,2.0
2069,5.0,2.0
2070,2.0,6.0
2071,2.0,0.0
2072,1.0,1.0
2073,1.0,8.0
2074,4.0,3.0
2075,3.0,5.0
2076,1.0,1.0
2077,2.0,5.0
2078,3.0,3.0
2079,2.0,8.0
2080,0.0,3.0
2081,0.0,4.0
2082,1.0,9.0
2083,4.0,7.0
2084,1.0,3.0
2085,0.0,5.0
2086,1.0,8.0
2087,3.0,4.0
2088,3.0,2.0
2089,2.0,4.0
2090,2.0,5.0
2091,5.0,3.0
2092,1.0,4.0
2093,1.0,6.0
2094,0.0,6.0
2095,1.0,2.0
2096,3.0,4.0
2097,0.0,5.0
2098,4.0,1.0
2099,3.0,6.0
2100,4.0,4.0
