Year,Warm,Cold
2020,0.0,5.0
2021,1.0,4.0
2022,2.0,5.0
2023,1.0,4.0
2024,2.0,2.0
2025,1.0,3.0
2026,2.0,5.0
2027,0.0,5.0
2028,1.0,5.0
2029,2.0,5.0
2030,4.0,6.0
2031,2.0,4.0
2032,0.0,5.0
2033,3.0,5.0
2034,2.0,5.0
2035,1.0,4.0
2036,3.0,6.0
2037,1.0,5.0
2038,0.0,7.0
2039,2.0,5.0
2040,0.0,4.0
2041,1.0,7.0
2042,2.0,4.0
2043,1.0,1.0
2044,3.0,8.0
2045,2.0,4.0
2046,2.0,6.0
2047,4.0,5.0
2048,2.0,8.0
2049,1.0,6.0
2050,2.0,5.0
2051,2.0,3.0
2052,3.0,3.0
2053,2.0,2.0
2054,2.0,5.0
2055,6.0,3.0
2056,2.0,1.0
2057,3.0,2.0
2058,0.0,7.0
2059,2.0,2.0
2060,1.0,2.0
2061,1.0,4.0
2062,1.0,4.0
2063,2.0,1.0
2064,0.0,2.0
2065,0.0,0.0
2066,4.0,8.0
2067,1.0,3.0
2068,1.0,0.0
2069,4.0,3.0
2070,0.0,4.0
2071,1.0,2.0
2072,1.0,3.0
2073,1.0,6.0
2074,1.0,7.0
2075,0.0,2.0
2076,2.0,5.0
2077,1.0,4.0
2078,0.0,1.0
2079,1.0,5.0
2080,2.0,5.0
2081,3.0,2.0
2082,1.0,6.0
2083,1.0,3.0
2084,0.0,3.0
2085,0.0,4.0
2086,0.0,6.0
2087,2.0,4.0
2088,2.0,3.0
2089,0.0,3.0
2090,1.0,3.0
2091,0.0,2.0
2092,2.0,6.0
2093,2.0,3.0
2094,3.0,9.0
2095,1.0,3.0
2096,1.0,3.0
2097,5.0,5.0
2098,2.0,3.0
2099,3.0,4.0
2100,0.0,6.0
