Year,Warm,Cold
2020,1.0,7.0
2021,1.0,2.0
2022,1.0,1.0
2023,0.0,4.0
2024,1.0,8.0
2025,3.0,1.0
2026,1.0,2.0
2027,1.0,5.0
2028,1.0,1.0
2029,1.0,10.0
2030,0.0,2.0
2031,0.0,3.0
2032,0.0,4.0
2033,3.0,1.0
2034,2.0,4.0
2035,1.0,6.0
2036,2.0,1.0
2037,4.0,4.0
2038,2.0,4.0
2039,2.0,6.0
2040,2.0,3.0
2041,3.0,5.0
2042,1.0,3.0
2043,1.0,6.0
2044,0.0,3.0
2045,3.0,5.0
2046,2.0,5.0
2047,2.0,3.0
2048,0.0,3.0
2049,1.0,1.0
2050,1.0,3.0
2051,0.0,3.0
2052,0.0,6.0
2053,0.0,5.0
2054,1.0,8.0
2055,2.0,4.0
2056,1.0,2.0
2057,2.0,3.0
2058,1.0,4.0
2059,2.0,2.0
2060,4.0,3.0
2061,1.0,4.0
2062,1.0,1.0
2063,1.0,4.0
2064,2.0,4.0
2065,4.0,4.0
2066,2.0,3.0
2067,3.0,3.0
2068,1.0,6.0
2069,0.0,3.0
2070,2.0,5.0
2071,2.0,4.0
2072,3.0,4.0
2073,1.0,8.0
2074,2.0,3.0
2075,1.0,8.0
2076,0.0,3.0
2077,2.0,2.0
2078,1.0,3.0
2079,2.0,8.0
2080,1.0,2.0
2081,2.0,3.0
2082,3.0,5.0
2083,2.0,3.0
2084,1.0,2.0
2085,3.0,2.0
2086,1.0,3.0
2087,3.0,2.0
2088,0.0,2.0
2089,2.0,3.0
2090,2.0,2.0
2091,1.0,8.0
2092,0.0,3.0
2093,1.0,3.0
2094,0.0,5.0
2095,2.0,4.0
2096,0.0,10.0
2097,1.0,3.0
2098,2.0,2.0
2099,0.0,4.0
2100,1.0,5.0
