Year,Warm,Cold
2020,1.0,4.0
2021,1.0,2.0
2022,2.0,6.0
2023,0.0,4.0
2024,1.0,5.0
2025,1.0,1.0
2026,0.0,3.0
2027,2.0,4.0
2028,4.0,3.0
2029,2.0,3.0
2030,2.0,5.0
2031,1.0,4.0
2032,0.0,3.0
2033,2.0,3.0
2034,0.0,3.0
2035,2.0,4.0
2036,1.0,1.0
2037,0.0,4.0
2038,3.0,4.0
2039,0.0,7.0
2040,0.0,8.0
2041,1.0,3.0
2042,4.0,8.0
2043,0.0,4.0
2044,6.0,3.0
2045,2.0,6.0
2046,2.0,6.0
2047,2.0,4.0
2048,1.0,3.0
2049,1.0,3.0
2050,0.0,5.0
2051,2.0,3.0
2052,3.0,5.0
2053,3.0,5.0
2054,2.0,4.0
2055,2.0,4.0
2056,2.0,4.0
2057,2.0,5.0
2058,2.0,7.0
2059,3.0,3.0
2060,0.0,6.0
2061,4.0,6.0
2062,3.0,1.0
2063,0.0,3.0
2064,1.0,2.0
2065,4.0,2.0
2066,5.0,5.0
2067,3.0,2.0
2068,4.0,4.0
2069,3.0,4.0
2070,1.0,4.0
2071,3.0,2.0
2072,3.0,5.0
2073,2.0,3.0
2074,2.0,7.0
2075,0.0,4.0
2076,1.0,3.0
2077,0.0,6.0
2078,2.0,0.0
2079,1.0,4.0
2080,1.0,5.0
2081,0.0,6.0
2082,1.0,5.0
2083,3.0,2.0
2084,1.0,4.0
2085,0.0,2.0
2086,2.0,6.0
2087,1.0,6.0
2088,1.0,4.0
2089,1.0,2.0
2090,0.0,2.0
2091,1.0,5.0
2092,3.0,4.0
2093,2.0,6.0
2094,2.0,9.0
2095,2.0,5.0
2096,1.0,3.0
2097,1.0,2.0
2098,2.0,4.0
2099,2.0,5.0
2100,0.0,5.0
