Year,Warm,Cold
2020,0.0,8.0
2021,1.0,4.0
2022,2.0,3.0
2023,1.0,3.0
2024,1.0,1.0
2025,0.0,7.0
2026,1.0,10.0
2027,1.0,1.0
2028,5.0,2.0
2029,0.0,3.0
2030,2.0,5.0
2031,2.0,8.0
2032,2.0,7.0
2033,1.0,4.0
2034,0.0,5.0
2035,1.0,4.0
2036,1.0,10.0
2037,3.0,3.0
2038,2.0,5.0
2039,1.0,7.0
2040,1.0,6.0
2041,0.0,6.0
2042,0.0,4.0
2043,2.0,2.0
2044,1.0,3.0
2045,2.0,5.0
2046,2.0,5.0
2047,2.0,3.0
2048,5.0,4.0
2049,3.0,6.0
2050,2.0,2.0
2051,5.0,8.0
2052,1.0,5.0
2053,0.0,2.0
2054,2.0,3.0
2055,5.0,2.0
2056,0.0,7.0
2057,0.0,5.0
2058,5.0,6.0
2059,4.0,1.0
2060,1.0,5.0
2061,1.0,3.0
2062,0.0,5.0
2063,2.0,4.0
2064,1.0,1.0
2065,1.0,4.0
2066,1.0,3.0
2067,1.0,5.0
2068,0.0,7.0
2069,1.0,6.0
2070,0.0,4.0
2071,2.0,2.0
2072,1.0,3.0
2073,4.0,4.0
2074,1.0,2.0
2075,1.0,3.0
2076,1.0,4.0
2077,0.0,7.0
2078,0.0,6.0
2079,2.0,1.0
2080,2.0,2.0
2081,3.0,8.0
2082,0.0,3.0
2083,0.0,3.0
2084,1.0,6.0
2085,2.0,0.0
2086,0.0,1.0
2087,2.0,3.0
2088,1.0,3.0
2089,1.0,3.0
2090,2.0,3.0
2091,0.0,5.0
2092,1.0,3.0
2093,3.0,7.0
2094,5.0,7.0
2095,1.0,6.0
2096,3.0,2.0
2097,1.0,3.0
2098,1.0,2.0
2099,1.0,3.0
2100,1.0,5.0
