Year,Warm,Cold
2020,2.0,3.0
2021,0.0,1.0
2022,1.0,7.0
2023,2.0,2.0
2024,1.0,4.0
2025,2.0,4.0
2026,2.0,3.0
2027,2.0,7.0
2028,2.0,3.0
2029,3.0,5.0
2030,1.0,5.0
2031,2.0,3.0
2032,3.0,5.0
2033,2.0,5.0
2034,1.0,5.0
2035,1.0,1.0
2036,0.0,5.0
2037,1.0,5.0
2038,2.0,5.0
2039,0.0,2.0
2040,1.0,5.0
2041,1.0,3.0
2042,2.0,5.0
2043,1.0,3.0
2044,2.0,3.0
2045,1.0,2.0
2046,1.0,5.0
2047,3.0,5.0
2048,2.0,7.0
2049,2.0,5.0
2050,3.0,6.0
2051,3.0,4.0
2052,2.0,6.0
2053,1.0,3.0
2054,1.0,7.0
2055,1.0,3.0
2056,4.0,2.0
2057,2.0,2.0
2058,3.0,7.0
2059,0.0,2.0
2060,1.0,5.0
2061,1.0,4.0
2062,2.0,6.0
2063,0.0,4.0
2064,2.0,2.0
2065,1.0,3.0
2066,3.0,4.0
2067,1.0,6.0
2068,0.0,4.0
2069,2.0,4.0
2070,2.0,4.0
2071,1.0,4.0
2072,3.0,4.0
2073,5.0,3.0
2074,1.0,4.0
2075,2.0,3.0
2076,2.0,5.0
2077,1.0,4.0
2078,4.0,4.0
2079,2.0,7.0
2080,1.0,2.0
2081,1.0,4.0
2082,0.0,3.0
2083,1.0,3.0
2084,0.0,5.0
2085,0.0,2.0
2086,2.0,3.0
2087,2.0,2.0
2088,1.0,7.0
2089,0.0,6.0
2090,2.0,4.0
2091,3.0,4.0
2092,2.0,3.0
2093,3.0,8.0
2094,3.0,6.0
2095,1.0,2.0
2096,1.0,14.0
2097,2.0,6.0
2098,2.0,4.0
2099,1.0,6.0
2100,2.0,5.0
