Year,Warm,Cold
2020,0.0,3.0
2021,1.0,3.0
2022,0.0,4.0
2023,1.0,2.0
2024,0.0,5.0
2025,1.0,2.0
2026,2.0,5.0
2027,2.0,5.0
2028,3.0,4.0
2029,0.0,5.0
2030,0.0,7.0
2031,1.0,2.0
2032,2.0,6.0
2033,4.0,2.0
2034,0.0,2.0
2035,0.0,9.0
2036,2.0,4.0
2037,4.0,3.0
2038,2.0,3.0
2039,2.0,5.0
2040,1.0,1.0
2041,0.0,3.0
2042,2.0,4.0
2043,1.0,5.0
2044,2.0,1.0
2045,3.0,4.0
2046,2.0,7.0
2047,1.0,4.0
2048,2.0,2.0
2049,2.0,1.0
2050,3.0,2.0
2051,0.0,4.0
2052,3.0,4.0
2053,2.0,4.0
2054,0.0,5.0
2055,1.0,2.0
2056,2.0,2.0
2057,2.0,3.0
2058,1.0,3.0
2059,1.0,6.0
2060,1.0,2.0
2061,1.0,3.0
2062,0.0,5.0
2063,2.0,2.0
2064,5.0,4.0
2065,1.0,7.0
2066,0.0,6.0
2067,0.0,2.0
2068,2.0,8.0
2069,2.0,1.0
2070,2.0,2.0
2071,1.0,3.0
2072,5.0,1.0
2073,3.0,5.0
2074,0.0,5.0
2075,1.0,4.0
2076,0.0,3.0
2077,1.0,3.0
2078,4.0,3.0
2079,0.0,3.0
2080,3.0,5.0
2081,1.0,6.0
2082,2.0,1.0
2083,0.0,6.0
2084,0.0,2.0
2085,1.0,4.0
2086,3.0,2.0
2087,1.0,4.0
2088,2.0,7.0
2089,2.0,5.0
2090,0.0,3.0
2091,1.0,2.0
2092,2.0,2.0
2093,1.0,1.0
2094,1.0,5.0
2095,0.0,2.0
2096,3.0,0.0
2097,0.0,6.0
2098,2.0,7.0
2099,4.0,6.0
2100,1.0,7.0
