Year,Warm,Cold
2020,1.0,2.0
2021,1.0,3.0
2022,2.0,3.0
2023,3.0,3.0
2024,2.0,8.0
2025,3.0,5.0
2026,1.0,7.0
2027,2.0,4.0
2028,2.0,7.0
2029,0.0,1.0
2030,0.0,2.0
2031,1.0,1.0
2032,2.0,6.0
2033,1.0,1.0
2034,0.0,5.0
2035,1.0,6.0
2036,1.0,6.0
2037,0.0,6.0
2038,2.0,6.0
2039,2.0,3.0
2040,0.0,4.0
2041,2.0,4.0
2042,1.0,3.0
2043,1.0,4.0
2044,1.0,5.0
2045,1.0,6.0
2046,0.0,3.0
2047,3.0,3.0
2048,3.0,3.0
2049,2.0,3.0
2050,3.0,3.0
2051,4.0,1.0
2052,0.0,5.0
2053,0.0,3.0
2054,3.0,8.0
2055,0.0,3.0
2056,0.0,2.0
2057,1.0,2.0
2058,2.0,3.0
2059,1.0,4.0
2060,2.0,7.0
2061,5.0,2.0
2062,2.0,4.0
2063,2.0,7.0
2064,1.0,8.0
2065,3.0,6.0
2066,1.0,6.0
2067,1.0,6.0
2068,2.0,4.0
2069,2.0,3.0
2070,0.0,4.0
2071,1.0,7.0
2072,2.0,6.0
2073,1.0,4.0
2074,0.0,9.0
2075,4.0,5.0
2076,2.0,3.0
2077,2.0,2.0
2078,2.0,0.0
2079,1.0,4.0
2080,1.0,4.0
2081,2.0,1.0
2082,1.0,3.0
2083,3.0,2.0
2084,0.0,4.0
2085,1.0,5.0
2086,1.0,5.0
2087,0.0,5.0
2088,1.0,6.0
2089,2.0,2.0
2090,1.0,6.0
2091,0.0,7.0
2092,0.0,7.0
2093,3.0,7.0
2094,1.0,3.0
2095,1.0,3.0
2096,2.0,4.0
2097,1.0,3.0
2098,2.0,2.0
2099,1.0,5.0
2100,1.0,5.0
