Year,Warm,Cold
2020,2.0,2.0
2021,1.0,8.0
2022,1.0,2.0
2023,2.0,1.0
2024,1.0,7.0
2025,3.0,6.0
2026,2.0,5.0
2027,2.0,6.0
2028,2.0,3.0
2029,1.0,5.0
2030,0.0,3.0
2031,1.0,5.0
2032,0.0,4.0
2033,1.0,3.0
2034,1.0,3.0
2035,4.0,3.0
2036,2.0,2.0
2037,4.0,2.0
2038,4.0,7.0
2039,0.0,8.0
2040,1.0,5.0
2041,0.0,6.0
2042,1.0,6.0
2043,1.0,2.0
2044,0.0,4.0
2045,0.0,2.0
2046,3.0,5.0
2047,1.0,10.0
2048,1.0,1.0
2049,1.0,3.0
2050,3.0,7.0
2051,1.0,5.0
2052,0.0,1.0
2053,1.0,2.0
2054,0.0,4.0
2055,2.0,6.0
2056,1.0,3.0
2057,0.0,2.0
2058,2.0,2.0
2059,1.0,3.0
2060,2.0,3.0
2061,1.0,4.0
2062,2.0,3.0
2063,1.0,4.0
2064,0.0,3.0
2065,3.0,5.0
2066,3.0,4.0
2067,1.0,4.0
2068,4.0,8.0
2069,0.0,6.0
2070,3.0,6.0
2071,0.0,1.0
2072,1.0,7.0
2073,4.0,3.0
2074,4.0,3.0
2075,1.0,5.0
2076,4.0,6.0
2077,2.0,3.0
2078,4.0,5.0
2079,0.0,0.0
2080,0.0,1.0
2081,1.0,4.0
2082,6.0,1.0
2083,3.0,1.0
2084,0.0,3.0
2085,2.0,1.0
2086,1.0,3.0
2087,4.0,4.0
2088,0.0,0.0
2089,1.0,1.0
2090,2.0,2.0
2091,4.0,3.0
2092,4.0,4.0
2093,0.0,3.0
2094,2.0,1.0
2095,1.0,5.0
2096,1.0,4.0
2097,4.0,3.0
2098,1.0,4.0
2099,1.0,3.0
2100,0.0,4.0
