Year,Warm,Cold
2020,0.0,4.0
2021,0.0,4.0
2022,2.0,5.0
2023,3.0,2.0
2024,2.0,3.0
2025,1.0,4.0
2026,3.0,4.0
2027,2.0,3.0
2028,2.0,2.0
2029,2.0,6.0
2030,3.0,4.0
2031,0.0,4.0
2032,4.0,4.0
2033,1.0,2.0
2034,2.0,4.0
2035,3.0,6.0
2036,1.0,2.0
2037,1.0,6.0
2038,0.0,5.0
2039,1.0,3.0
2040,1.0,6.0
2041,0.0,8.0
2042,0.0,5.0
2043,1.0,3.0
2044,1.0,1.0
2045,1.0,3.0
2046,0.0,6.0
2047,1.0,4.0
2048,1.0,6.0
2049,3.0,5.0
2050,2.0,4.0
2051,2.0,2.0
2052,4.0,3.0
2053,2.0,5.0
2054,1.0,5.0
2055,1.0,2.0
2056,3.0,3.0
2057,0.0,4.0
2058,3.0,3.0
2059,3.0,6.0
2060,0.0,5.0
2061,3.0,4.0
2062,4.0,2.0
2063,1.0,1.0
2064,2.0,2.0
2065,2.0,4.0
2066,3.0,4.0
2067,1.0,3.0
2068,5.0,6.0
2069,3.0,2.0
2070,3.0,1.0
2071,1.0,4.0
2072,0.0,5.0
2073,1.0,4.0
2074,0.0,5.0
2075,0.0,3.0
2076,0.0,5.0
2077,4.0,7.0
2078,2.0,7.0
2079,0.0,3.0
2080,1.0,3.0
2081,0.0,4.0
2082,1.0,6.0
2083,0.0,6.0
2084,2.0,2.0
2085,1.0,5.0
2086,2.0,6.0
2087,1.0,1.0
2088,4.0,5.0
2089,2.0,3.0
2090,1.0,7.0
2091,1.0,3.0
2092,3.0,3.0
2093,1.0,4.0
2094,2.0,2.0
2095,2.0,3.0
2096,4.0,5.0
2097,1.0,4.0
2098,0.0,3.0
2099,1.0,3.0
2100,1.0,5.0
