Year,Warm,Cold
2020,0.0,2.0
2021,0.0,3.0
2022,4.0,8.0
2023,2.0,2.0
2024,2.0,5.0
2025,1.0,3.0
2026,2.0,4.0
2027,2.0,6.0
2028,0.0,7.0
2029,0.0,1.0
2030,2.0,3.0
2031,3.0,7.0
2032,2.0,2.0
2033,1.0,4.0
2034,0.0,2.0
2035,4.0,1.0
2036,1.0,4.0
2037,1.0,0.0
2038,2.0,7.0
2039,2.0,4.0
2040,3.0,4.0
2041,1.0,3.0
2042,4.0,5.0
2043,3.0,7.0
2044,0.0,7.0
2045,1.0,6.0
2046,2.0,4.0
2047,1.0,1.0
2048,2.0,4.0
2049,1.0,3.0
2050,2.0,3.0
2051,0.0,6.0
2052,1.0,4.0
2053,0.0,7.0
2054,4.0,5.0
2055,1.0,4.0
2056,0.0,5.0
2057,1.0,2.0
2058,0.0,4.0
2059,0.0,8.0
2060,2.0,4.0
2061,1.0,3.0
2062,0.0,4.0
2063,2.0,3.0
2064,2.0,2.0
2065,1.0,3.0
2066,1.0,3.0
2067,2.0,2.0
2068,4.0,5.0
2069,1.0,5.0
2070,1.0,6.0
2071,0.0,4.0
2072,3.0,1.0
2073,2.0,3.0
2074,2.0,1.0
2075,1.0,5.0
2076,1.0,3.0
2077,2.0,5.0
2078,0.0,5.0
2079,4.0,4.0
2080,1.0,6.0
2081,3.0,3.0
2082,2.0,5.0
2083,1.0,2.0
2084,3.0,5.0
2085,0.0,2.0
2086,0.0,5.0
2087,0.0,2.0
2088,4.0,7.0
2089,1.0,2.0
2090,3.0,3.0
2091,1.0,5.0
2092,3.0,1.0
2093,1.0,3.0
2094,0.0,2.0
2095,1.0,3.0
2096,4.0,3.0
2097,3.0,5.0
2098,1.0,3.0
2099,3.0,10.0
2100,0.0,5.0
