Year,Warm,Cold
2020,0.0,6.0
2021,0.0,2.0
2022,2.0,6.0
2023,0.0,3.0
2024,1.0,2.0
2025,1.0,8.0
2026,1.0,4.0
2027,3.0,4.0
2028,2.0,5.0
2029,2.0,5.0
2030,2.0,10.0
2031,2.0,4.0
2032,0.0,4.0
2033,0.0,6.0
2034,1.0,6.0
2035,0.0,3.0
2036,2.0,1.0
2037,2.0,6.0
2038,0.0,4.0
2039,1.0,3.0
2040,2.0,5.0
2041,1.0,7.0
2042,1.0,7.0
2043,0.0,4.0
2044,0.0,6.0
2045,1.0,0.0
2046,4.0,4.0
2047,2.0,2.0
2048,1.0,7.0
2049,1.0,7.0
2050,2.0,4.0
2051,1.0,2.0
2052,2.0,6.0
2053,2.0,3.0
2054,3.0,3.0
2055,4.0,2.0
2056,1.0,3.0
2057,0.0,2.0
2058,0.0,6.0
2059,0.0,2.0
2060,4.0,1.0
2061,3.0,3.0
2062,3.0,0.0
2063,0.0,5.0
2064,0.0,4.0
2065,0.0,2.0
2066,0.0,2.0
2067,3.0,7.0
2068,3.0,5.0
2069,0.0,4.0
2070,1.0,5.0
2071,2.0,2.0
2072,0.0,6.0
2073,2.0,6.0
2074,2.0,4.0
2075,1.0,4.0
2076,2.0,6.0
2077,1.0,2.0
2078,0.0,3.0
2079,0.0,4.0
2080,0.0,2.0
2081,3.0,2.0
2082,1.0,6.0
2083,0.0,7.0
2084,3.0,4.0
2085,1.0,6.0
2086,1.0,8.0
2087,2.0,2.0
2088,4.0,4.0
2089,2.0,4.0
2090,0.0,3.0
2091,2.0,3.0
2092,0.0,6.0
2093,1.0,5.0
2094,1.0,3.0
2095,3.0,8.0
2096,1.0,5.0
2097,3.0,2.0
2098,0.0,8.0
2099,1.0,6.0
2100,3.0,6.0
