Year,Warm,Cold
2020,1.0,4.0
2021,5.0,5.0
2022,2.0,2.0
2023,2.0,4.0
2024,3.0,6.0
2025,2.0,4.0
2026,2.0,7.0
2027,3.0,5.0
2028,2.0,4.0
2029,1.0,3.0
2030,0.0,4.0
2031,4.0,4.0
2032,1.0,5.0
2033,0.0,4.0
2034,0.0,6.0
2035,0.0,5.0
2036,1.0,2.0
2037,1.0,3.0
2038,1.0,3.0
2039,1.0,3.0
2040,2.0,3.0
2041,1.0,2.0
2042,2.0,8.0
2043,0.0,5.0
2044,3.0,7.0
2045,1.0,3.0
2046,0.0,2.0
2047,0.0,6.0
2048,4.0,2.0
2049,2.0,5.0
2050,1.0,1.0
2051,3.0,6.0
2052,3.0,2.0
2053,1.0,3.0
2054,1.0,5.0
2055,1.0,4.0
2056,3.0,3.0
2057,1.0,4.0
2058,2.0,3.0
2059,2.0,2.0
2060,2.0,4.0
2061,3.0,3.0
2062,1.0,2.0
2063,1.0,5.0
2064,0.0,3.0
2065,0.0,3.0
2066,0.0,4.0
2067,0.0,1.0
2068,2.0,2.0
2069,3.0,6.0
2070,1.0,5.0
2071,0.0,4.0
2072,3.0,1.0
2073,0.0,4.0
2074,0.0,4.0
2075,3.0,4.0
2076,1.0,4.0
2077,1.0,6.0
2078,5.0,5.0
2079,1.0,7.0
2080,3.0,4.0
2081,0.0,4.0
2082,0.0,10.0
2083,3.0,4.0
2084,1.0,3.0
2085,3.0,3.0
2086,1.0,6.0
2087,1.0,7.0
2088,0.0,2.0
2089,1.0,5.0
2090,0.0,3.0
2091,1.0,4.0
2092,3.0,5.0
2093,3.0,3.0
2094,2.0,1.0
2095,0.0,2.0
2096,1.0,2.0
2097,5.0,4.0
2098,3.0,11.0
2099,2.0,5.0
2100,2.0,4.0
