Year,Warm,Cold
2020,3.0,2.0
2021,2.0,4.0
2022,2.0,5.0
2023,2.0,3.0
2024,1.0,4.0
2025,4.0,2.0
2026,3.0,6.0
2027,2.0,4.0
2028,3.0,2.0
2029,1.0,4.0
2030,2.0,3.0
2031,1.0,7.0
2032,0.0,5.0
2033,2.0,2.0
2034,3.0,3.0
2035,1.0,4.0
2036,2.0,6.0
2037,1.0,1.0
2038,1.0,3.0
2039,1.0,9.0
2040,2.0,3.0
2041,2.0,4.0
2042,0.0,7.0
2043,2.0,3.0
2044,2.0,5.0
2045,2.0,5.0
2046,0.0,6.0
2047,5.0,1.0
2048,4.0,5.0
2049,2.0,8.0
2050,2.0,6.0
2051,6.0,2.0
2052,3.0,6.0
2053,2.0,2.0
2054,0.0,6.0
2055,2.0,4.0
2056,0.0,3.0
2057,0.0,2.0
2058,2.0,6.0
2059,1.0,2.0
2060,2.0,4.0
2061,1.0,2.0
2062,1.0,9.0
2063,5.0,2.0
2064,1.0,0.0
2065,3.0,5.0
2066,1.0,3.0
2067,1.0,4.0
2068,1.0,3.0
2069,0.0,2.0
2070,3.0,4.0
2071,0.0,4.0
2072,3.0,5.0
2073,1.0,6.0
2074,1.0,4.0
2075,1.0,2.0
2076,1.0,3.0
2077,1.0,4.0
2078,0.0,6.0
2079,0.0,3.0
2080,5.0,6.0
2081,2.0,3.0
2082,0.0,5.0
2083,1.0,1.0
2084,1.0,1.0
2085,3.0,6.0
2086,0.0,8.0
2087,1.0,6.0
2088,2.0,6.0
2089,3.0,7.0
2090,5.0,1.0
2091,1.0,5.0
2092,1.0,7.0
2093,1.0,5.0
2094,3.0,5.0
2095,2.0,9.0
2096,0.0,8.0
2097,0.0,3.0
2098,2.0,3.0
2099,2.0,5.0
2100,2.0,1.0
