Year,Warm,Cold
2020,2.0,3.0
2021,2.0,3.0
2022,2.0,4.0
2023,0.0,5.0
2024,2.0,5.0
2025,0.0,9.0
2026,2.0,4.0
2027,1.0,3.0
2028,0.0,4.0
2029,0.0,2.0
2030,1.0,1.0
2031,0.0,1.0
2032,2.0,4.0
2033,1.0,5.0
2034,3.0,6.0
2035,3.0,1.0
2036,2.0,8.0
2037,2.0,8.0
2038,4.0,9.0
2039,1.0,2.0
2040,1.0,3.0
2041,2.0,6.0
2042,4.0,10.0
2043,0.0,2.0
2044,2.0,4.0
2045,1.0,7.0
2046,0.0,3.0
2047,0.0,4.0
2048,0.0,3.0
2049,0.0,5.0
2050,4.0,3.0
2051,2.0,4.0
2052,2.0,4.0
2053,0.0,1.0
2054,3.0,2.0
2055,1.0,4.0
2056,2.0,6.0
2057,0.0,4.0
2058,1.0,7.0
2059,1.0,7.0
2060,2.0,2.0
2061,1.0,1.0
2062,5.0,5.0
2063,3.0,4.0
2064,3.0,2.0
2065,2.0,6.0
2066,1.0,6.0
2067,2.0,5.0
2068,2.0,1.0
2069,1.0,5.0
2070,1.0,2.0
2071,3.0,2.0
2072,2.0,7.0
2073,1.0,5.0
2074,3.0,3.0
2075,1.0,2.0
2076,1.0,4.0
2077,0.0,5.0
2078,1.0,4.0
2079,2.0,6.0
2080,0.0,2.0
2081,1.0,2.0
2082,1.0,4.0
2083,1.0,6.0
2084,1.0,5.0
2085,3.0,6.0
2086,3.0,5.0
2087,1.0,3.0
2088,2.0,3.0
2089,0.0,2.0
2090,0.0,2.0
2091,4.0,2.0
2092,0.0,7.0
2093,1.0,3.0
2094,2.0,3.0
2095,1.0,5.0
2096,2.0,1.0
2097,1.0,4.0
2098,3.0,4.0
2099,1.0,8.0
2100,2.0,4.0
