Year,Warm,Cold
2020,0.0,4.0
2021,1.0,6.0
2022,0.0,1.0
2023,3.0,2.0
2024,0.0,5.0
2025,2.0,6.0
2026,0.0,2.0
2027,3.0,5.0
2028,4.0,4.0
2029,1.0,2.0
2030,1.0,4.0
2031,3.0,2.0
2032,2.0,5.0
2033,1.0,2.0
2034,2.0,3.0
2035,3.0,2.0
2036,5.0,6.0
2037,1.0,6.0
2038,2.0,4.0
2039,1.0,1.0
2040,1.0,1.0
2041,1.0,3.0
2042,0.0,4.0
2043,1.0,3.0
2044,3.0,5.0
2045,1.0,8.0
2046,0.0,1.0
2047,1.0,4.0
2048,3.0,5.0
2049,2.0,6.0
2050,0.0,5.0
2051,2.0,3.0
2052,0.0,3.0
2053,3.0,1.0
2054,4.0,1.0
2055,1.0,2.0
2056,1.0,7.0
2057,1.0,3.0
2058,2.0,3.0
2059,1.0,6.0
2060,2.0,3.0
2061,2.0,3.0
2062,2.0,4.0
2063,1.0,5.0
2064,1.0,3.0
2065,2.0,4.0
2066,0.0,4.0
2067,1.0,4.0
2068,2.0,7.0
2069,2.0,5.0
2070,1.0,4.0
2071,3.0,4.0
2072,0.0,1.0
2073,1.0,9.0
2074,1.0,5.0
2075,0.0,6.0
2076,2.0,7.0
2077,1.0,3.0
2078,3.0,8.0
2079,2.0,1.0
2080,2.0,3.0
2081,0.0,4.0
2082,3.0,2.0
2083,2.0,2.0
2084,0.0,5.0
2085,1.0,5.0
2086,1.0,2.0
2087,3.0,7.0
2088,1.0,3.0
2089,4.0,3.0
2090,2.0,8.0
2091,1.0,3.0
2092,3.0,4.0
2093,0.0,5.0
2094,3.0,2.0
2095,1.0,5.0
2096,0.0,2.0
2097,2.0,2.0
2098,2.0,3.0
2099,2.0,4.0
2100,1.0,2.0
