Year,Warm,Cold
2020,0.0,9.0
2021,1.0,6.0
2022,2.0,5.0
2023,1.0,7.0
2024,1.0,2.0
2025,1.0,5.0
2026,1.0,9.0
2027,3.0,3.0
2028,1.0,5.0
2029,0.0,3.0
2030,2.0,4.0
2031,2.0,4.0
2032,0.0,3.0
2033,1.0,6.0
2034,4.0,6.0
2035,3.0,5.0
2036,1.0,3.0
2037,4.0,2.0
2038,2.0,0.0
2039,0.0,5.0
2040,3.0,4.0
2041,1.0,3.0
2042,1.0,4.0
2043,1.0,6.0
2044,2.0,2.0
2045,0.0,7.0
2046,3.0,7.0
2047,1.0,5.0
2048,1.0,5.0
2049,2.0,2.0
2050,1.0,4.0
2051,0.0,9.0
2052,2.0,8.0
2053,2.0,5.0
2054,2.0,4.0
2055,3.0,7.0
2056,2.0,5.0
2057,3.0,1.0
2058,2.0,9.0
2059,0.0,4.0
2060,2.0,5.0
2061,2.0,6.0
2062,1.0,4.0
2063,1.0,3.0
2064,2.0,3.0
2065,0.0,2.0
2066,0.0,4.0
2067,1.0,8.0
2068,1.0,6.0
2069,1.0,5.0
2070,1.0,3.0
2071,1.0,2.0
2072,0.0,4.0
2073,1.0,5.0
2074,1.0,1.0
2075,1.0,2.0
2076,0.0,6.0
2077,0.0,2.0
2078,1.0,1.0
2079,1.0,5.0
2080,1.0,4.0
2081,1.0,6.0
2082,3.0,4.0
2083,0.0,2.0
2084,3.0,1.0
2085,1.0,1.0
2086,1.0,4.0
2087,0.0,3.0
2088,0.0,2.0
2089,2.0,2.0
2090,2.0,5.0
2091,1.0,3.0
2092,1.0,4.0
2093,3.0,5.0
2094,0.0,4.0
2095,1.0,6.0
2096,4.0,5.0
2097,1.0,3.0
2098,1.0,4.0
2099,2.0,3.0
2100,2.0,2.0
