Year,Warm,Cold
2020,1.0,2.0
2021,2.0,4.0
2022,0.0,4.0
2023,2.0,5.0
2024,4.0,4.0
2025,0.0,1.0
2026,0.0,1.0
2027,3.0,1.0
2028,1.0,8.0
2029,1.0,7.0
2030,1.0,1.0
2031,0.0,3.0
2032,1.0,4.0
2033,1.0,3.0
2034,2.0,5.0
2035,0.0,6.0
2036,1.0,5.0
2037,3.0,1.0
2038,0.0,4.0
2039,1.0,5.0
2040,3.0,5.0
2041,0.0,5.0
2042,1.0,6.0
2043,0.0,4.0
2044,1.0,3.0
2045,1.0,3.0
2046,0.0,5.0
2047,2.0,2.0
2048,0.0,6.0
2049,2.0,7.0
2050,2.0,4.0
2051,2.0,7.0
2052,1.0,5.0
2053,1.0,0.0
2054,3.0,5.0
2055,0.0,5.0
2056,1.0,5.0
2057,0.0,6.0
2058,1.0,4.0
2059,3.0,7.0
2060,0.0,1.0
2061,1.0,5.0
2062,3.0,5.0
2063,2.0,6.0
2064,0.0,4.0
2065,3.0,4.0
2066,2.0,6.0
2067,2.0,4.0
2068,1.0,8.0
2069,0.0,6.0
2070,2.0,2.0
2071,0.0,5.0
2072,0.0,4.0
2073,2.0,1.0
2074,0.0,3.0
2075,4.0,4.0
2076,1.0,1.0
2077,2.0,3.0
2078,1.0,3.0
2079,1.0,7.0
2080,1.0,2.0
2081,2.0,6.0
2082,2.0,3.0
2083,0.0,4.0
2084,1.0,6.0
2085,1.0,5.0
2086,0.0,7.0
2087,0.0,4.0
2088,2.0,2.0
2089,1.0,3.0
2090,0.0,0.0
2091,2.0,5.0
2092,1.0,5.0
2093,2.0,3.0
2094,3.0,2.0
2095,0.0,3.0
2096,2.0,4.0
2097,3.0,4.0
2098,2.0,6.0
2099,1.0,4.0
2100,0.0,6.0
