Year,Warm,Cold
2020,1.0,0.0
2021,2.0,5.0
2022,3.0,3.0
2023,1.0,7.0
2024,3.0,3.0
2025,3.0,1.0
2026,1.0,2.0
2027,1.0,3.0
2028,1.0,5.0
2029,4.0,4.0
2030,1.0,6.0
2031,3.0,0.0
2032,0.0,7.0
2033,0.0,1.0
2034,2.0,6.0
2035,1.0,1.0
2036,2.0,4.0
2037,0.0,4.0
2038,0.0,7.0
2039,4.0,4.0
2040,1.0,5.0
2041,0.0,4.0
2042,0.0,1.0
2043,2.0,9.0
2044,4.0,2.0
2045,0.0,4.0
2046,1.0,7.0
2047,6.0,4.0
2048,1.0,1.0
2049,1.0,4.0
2050,2.0,4.0
2051,2.0,3.0
2052,1.0,1.0
2053,2.0,6.0
2054,2.0,3.0
2055,1.0,2.0
2056,4.0,2.0
2057,1.0,7.0
2058,0.0,3.0
2059,0.0,5.0
2060,1.0,3.0
2061,1.0,6.0
2062,1.0,7.0
2063,0.0,5.0
2064,1.0,4.0
2065,3.0,3.0
2066,2.0,3.0
2067,0.0,6.0
2068,0.0,6.0
2069,1.0,3.0
2070,1.0,0.0
2071,0.0,3.0
2072,2.0,3.0
2073,4.0,1.0
2074,1.0,6.0
2075,0.0,6.0
2076,1.0,10.0
2077,0.0,3.0
2078,2.0,8.0
2079,4.0,4.0
2080,1.0,4.0
2081,0.0,5.0
2082,3.0,1.0
2083,1.0,3.0
2084,2.0,7.0
2085,0.0,1.0
2086,1.0,1.0
2087,2.0,5.0
2088,5.0,5.0
2089,0.0,3.0
2090,0.0,4.0
2091,3.0,5.0
2092,3.0,3.0
2093,3.0,5.0
2094,0.0,2.0
2095,3.0,4.0
2096,1.0,5.0
2097,1.0,4.0
2098,1.0,2.0
2099,1.0,1.0
2100,1.0,2.0
