,water_level,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
28,0.28028028,552535.6065,0,147751.2946,0,2499928.311,0,31419.80563,717007.1646,618430.1413,32388.09676,8702.206143,203825.282,335014.6603,1396752.501,272586.3659,346027.4872,0,16011783.91
29,0.29029029,572269.021,0,153028.1266,0,2590124.175,0,32541.94155,742614.5634,640971.0261,33544.8145,9012.99922,211104.7563,346979.4696,1446636.518,282321.5932,358385.6117,0,16583633.34
30,0.3003003,592002.4355,0,158304.9585,0,2680320.038,0,33664.07746,768221.9621,663511.911,34701.53224,9323.792296,218384.2307,358944.2789,1496520.536,292056.8206,370743.7363,0,17155482.77
31,0.31031031,608114.9,0,162613.527,0,2749031.157,0,34580.30892,789130.5739,681428.789,35645.99999,9577.556915,224327.97,367981.8046,1525046.656,300005.6986,380078.3495,0,17493079.94
32,0.32032032,621270.5097,0,166131.4149,0,2800197.912,0,35328.39953,806202.1731,695569.7197,36417.14515,9784.7523,229180.9529,374628.9208,1536131.994,306495.8502,386943.9743,0,17639387.55
33,0.33033033,634426.1194,0,169649.3029,0,2851364.666,0,36076.49014,823273.7722,709710.6504,37188.29031,9991.947684,234033.9358,381276.0371,1547217.331,312986.0018,393809.599,0,17785695.17
34,0.34034034,647581.729,0,173167.1909,0,2902531.42,0,36824.58075,840345.3714,723851.5811,37959.43547,10199.14307,238886.9187,387923.1534,1558302.668,319476.1533,400675.2237,0,17932002.79
35,0.35035035,660737.3387,0,176685.0788,0,2953698.175,0,37572.67136,857416.9705,737992.5118,38730.58063,10406.33845,243739.9016,394570.2697,1569388.006,325966.3049,407540.8485,21882.64325,18078310.4
36,0.36036036,673892.9484,0,180202.9668,0,3004864.929,0,38320.76197,874488.5697,752133.4425,39501.72579,10613.53384,248592.8845,401217.3859,1580473.343,332456.4565,414406.4732,97982.61133,18224618.02
37,0.37037037,692669.5301,0,183720.8548,0,3056031.683,0,39068.85258,891560.1689,766274.3732,40272.87095,10820.72922,253445.8675,407864.5022,1591558.68,338946.608,421272.098,174082.5794,18370925.64
38,0.38038038,713583.8827,0,187238.7427,0,3107198.438,0,39816.94319,908631.768,780415.3039,41044.01611,11027.92461,258298.8504,414511.6185,1602644.018,345436.7596,428137.7227,250182.5475,18517233.26
39,0.39039039,734498.2354,0,190756.6307,0,3158365.192,0,40565.0338,925703.3672,794556.2346,41815.16128,11235.11999,263151.8333,421158.7348,1613729.355,351926.9112,435003.3475,326282.5156,18663540.87
